dist_id,district,total_revenue,state_revenue,local_revenue,federal_revenue,total_enroll,state_bond_revenue,local_bond_revenue,local_rev_pct,state_rev_pct,federal_rec_pct,d_code,el_enroll,frpl_enroll,sped_enroll,complex_sped_enroll,intense_sped_enroll,voc_enroll,state_pp_revenue,frpl_pct
29,Appoquinimink School District,215411449.71,127659935.28,67131261.94,20620252.49,13447,34541941,6190994,0.3116420321685601,0.5926330074462781,0.09572496038516168,29,532,1528,2373,232,281,420.8948345205853,9493.562525470365,0.1136312932252547
31,Brandywine School District,224615343.62,103992958.79,91926531.4900001,28695853.34,11477,26015689,657057,0.40926202995962585,0.46298243527803395,0.12775553476234064,31,661,3223,2439,240,332,310.6356582647437,9060.987957654439,0.2808225145944062
33,Christina School District,422131440.73,202233464.93,174167317.07,45730658.7299999,15702,1297723,810067,0.41259025096261276,0.4790770016568152,0.10833274738057178,33,2225,5746,3797,345,863,271.0391063702322,12879.471718889314,0.36594064450388486
34,Colonial School District,213001759.1,113475577.67,74878105.28,24648076.15,10745,949226,624064,0.35153749713797555,0.5327447911673139,0.1157177116947106,34,1418,3702,2183,206,717,183.06121826261187,10560.77968078176,0.3445323406235458
38,New Castle County Vocational-Technical School District,103886926.66,59946535.92,36576875.9,7363514.84,4799,779150,NA,0.35208353039173446,0.5770363783711917,0.07088009123707385,38,229,1284,668,17,161,1010.9969177246094,12491.46403834132,0.26755574077932903
32,Red Clay Consolidated School District,344890215.93,167979113.96,125137823.6,51773278.37,17667,1460227,959395,0.3628337883188845,0.48705096926870656,0.1501152424124089,32,2711,5033,3558,453,605,342.795017720514,9508.07233599366,0.28488141733174843
10,Caesar Rodney School District,145742473.04,91922411.8200001,31991649.86,21828411.36,8990,11324036,3281899,0.21950807607895934,0.6307180734800032,0.1497738504410382,10,462,2365,1594,32,312,151.32089996368597,10224.962382647396,0.26307007786429365
13,Capital School District,142550874.69,89336241.74,32684224.85,20530408.1,7436,34805259,17763878,0.22928112451836688,0.6266972541156001,0.14402162136603303,13,603,3262,1672,69,258,171.0021171574246,12014.018523399676,0.43867670790747715
15,Lake Forest School District,63226892.65,40496658.02,10740411.55,11989823.08,3871,337725,225150,0.16987093782158216,0.6404973631105688,0.1896316990678491,15,118,1368,864,56,76,104.27338600196934,10461.549475587704,0.35339705502454144
18,Milford School District,73326578.59,48343357,14025424.02,10957797.57,4847,5374850,2018267,0.19127340030989434,0.6592883225918423,0.1494382770982633,18,968,1685,962,30,132,151.05508041444835,9973.8718795131,0.34763771404992777
39,Polytech School District,28344145.72,16616907.99,8985313.42,2741924.31,1247,196179,NA,0.317007734463482,0.5862553824747977,0.0967368830617203,39,8,212,154,4,16,266.9488525390625,13325.507610264634,0.17000801924619086
24,Smyrna School District,98105606.51,68189734.76,18903792.78,11012078.97,6554,1261443,585962,0.19268820052677743,0.6950646062521346,0.11224719322108802,24,192,1469,1312,192,356,249.31676483177085,10404.292761672263,0.22413793103448276
17,Cape Henlopen School District,144928497.52,71927498.63,59599668.9,13401329.99,6656,14828538,9845341,0.41123498773438466,0.49629644866824113,0.09246856359737413,17,575,1358,1268,47,141,180.89999485061622,10806.41505859375,0.20402644230769232
37,Delmar School District,18066232.44,12617511.83,3053984.13,2394736.48,1563,133294,88863,0.16904377490672867,0.6984030495513761,0.1325531755418951,37,68,219,150,7,3,97.75899505615234,8072.624331413947,0.1401151631477927
36,Indian River School District,210582588.17,116938581.11,68537246.5899999,25106760.47,11383,35590295,23711846,0.3254649265430761,0.5553098293938592,0.11922524406306427,36,2847,2850,1883,155,542,354.81674385139706,10273.089792673285,0.2503733637881051
16,Laurel School District,42111762.85,27128770.75,6804217.25,8178774.85,3020,245478,163652,0.16157521769478714,0.6442088602804714,0.19421592202474133,16,500,1198,605,42,60,80.75912571219996,8983.03667218543,0.3966887417218543
23,Seaford School District,61916327.61,39120267.48,9807566.81,12988493.32,3787,316028,210685,0.1584003313597042,0.631824738159725,0.20977493048057086,23,841,1571,737,18,99,81.47405147597873,10330.147208872457,0.41484024293636124
40,Sussex Technical School District,31785335.04,15827505.52,12827559.62,3130269.9,1331,205524,NA,0.4035684885453389,0.49794993509056934,0.0984815763640917,40,31,273,146,3,44,285.3062744140625,11891.439158527422,0.20510894064613072
35,Woodbridge School District,46173263.92,30323506.02,7769113.54,8080644.36,2773,238985,159324,0.16826000330972488,0.6567329975316156,0.17500699915865944,35,470,991,561,54,204,77.51670646722377,10935.270833032817,0.3573746844572665
