dist_id,district,model_8_total_funding,model_8_diff_pp,model_8_state_diff_pp,direct_cert_pct,model_8_local_share_total,model_8_diff_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,sparsity_funding,conc_pov_funding,geoid,total_enroll,local_diff_pp,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,gifted_enroll,sparsity_weighted_enroll,model_8_pp_funding,model_8_local_mills_total,model_8_local_pct_total,model_8_local_share_pp,model_8_state_share,model_8_state_share_pp,model_8_local_diff_total,current_local_pp,model_8_local_diff_pp,sped_pp_funding,sped_model_8_pp,sped_pp_diff,at_risk_pp_funding,ed_model_8_pp,ed_pp_diff,cte_pp_funding,cte_model_8_pp,cte_pp_diff
4820,ABERDEEN,8827881.94902201,356.0389615451004,-89.82083889171645,0.4201,2383528.126235943,355326.88362201117,6686600,297480,636500,56950,990930,0,842712.198,16716.500000000004,212390,31660.18502200975,46873.066000000006,2800360,998,4183.5550647294585,8472555.065399999,8489.534133667334,6533995.02,1938560.0454,3032312.136,1938560.0454,4.6400706363317905,5461563,5472.508016032064,6547.089198396793,7179852.02,7194.240501002004,0,76,64,71,87,49,70,79,68,74,103,81,77,78,998,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6114256.61,ABERDEEN,215.08293261435543,0.309,4672500.27,910.472222,74,76,5,232105.88,682414.14,419.2598,308.382,108296.862,108.51388977955912,4147539.884,4155.851587174348,5241291.974599999,5251.795565731462,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1942.444935270541,0.003599293636682095,0.0701,69.9598,49.900000000000006,1312.86892,8845.573095212434,3032312.136,2383528.126235943,2388.3047357073574,6444353.822786067,6457.268359505077,-3730728.4837640575,6126.509629258518,-3738.2048935511602,4795.245161290322,6393.096774193548,1597.851612903226,727.2338621956125,2010,1282.7661378043877,177.64668769716087,670,492.35331230283913
0200,ALCORN COUNTY,26721370.14,466.08785947302385,466.08785947302385,0.1905,4816058.044,1485888.0960000008,21359600,1563780,1340000,227800,3131580,38860,1220701.14,53399,917230,0,0,2800390,3188,1456.316799247177,25235482.044,7915.772284818067,20419424,4816058.044,4816058.044,6069361.050000001,8.627912006495674,17423282,5465.270388958595,6405.089084065245,22479115,7051.16530740276,135,210,243,246,219,233,194,233,232,240,256,235,237,200,3188,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,711043.38,1787412.62,607.314,599.344,172002.073,53.95297145545797,17663056.956,5540.482106649937,16409753.95,5147.350674404015,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.12886944,703630,1510.683200752823,0,0,0,159.4,3988.2642,8381.860144291091,4816058.044,7214769.9378,1510.683200752823,21905312.096,6871.1769435382685,-4643587.446,2967.266464868256,-1456.5832641154332,4159.743409490334,5503.655536028119,1343.9121265377853,1507.1036216346736,2010,502.8963783653264,513.9737034331629,670,156.02629656683712
2545,AMBITION PREP,4045382.28,876.487043307945,876.487043307945,0.5627,747119.549212186,420713.7807878135,3216000,84420,125625,0,210045,0,542892.96,8040,0,0,68404.32,.,480,NA,3624668.4992121863,7551.392706692055,2877548.95,747119.549212186,747119.549212186,859792.3065000001,Inf,2151984,4483.3,5994.893645833334,3184415.95,6634.199895833333,0,79,79,83,87,67,0,0,0,0,0,0,0,0,395,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04329236,1342962.18,AMBITION PR,0,0.401,1608020.68,277.804469,21,15,0,89289.47,118269.48,270.096,192.48,26682.84104329236,55.58925217352575,2437296.400787814,5077.700834974613,2324623.6435,4842.965923958333,NA,NA,NA,NA,NA,NA,NA,41826,134704.84246284,0,1556.499060858721,0,0.2127,102.096,24,603.7884000000001,8427.87975,747119.549212186,1092253.2156,1556.499060858721,3298262.7307878137,6871.380689141279,-595842.6307878139,2797.8378749999997,-1241.3388141412788,1161.8333333333333,5834.583333333333,4672.75,498.72949789274924,2009.9999999999998,1511.2705021072506,NA,NA,NA
0300,AMITE COUNTY,8521249.500951398,713.5981243275473,141.87745099005951,0.549,2300737.3652568776,608699.200051398,5715100,639180,485750,113900,1238830,0,941276.9700000001,14287.750000000002,183580,314444.29095139785,113730.49000000005,2800420,853,4501.490467878077,7912550.3009,9276.143377373974,6099490.67,1813059.6309,3221128.96,1813059.6309,1.1684933064056744,5418370,6352.133645955451,7150.633845252051,6715035.67,7872.257526377492,0,71,63,61,73,63,61,59,59,68,65,73,47,62,853,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,201251.92,542503.75,468.297,247.37,115040.32,134.86555685814773,3493906.71,4096.021934349355,4901976.0391,5746.747994255568,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,2125.509532121923,0.038315066935943255,0.19900000000000007,169.74700000000004,42.650000000000006,1224.8963,9989.741501701521,3221128.96,2300737.3652568776,2697.230205459411,6220512.135694521,7292.511296242111,-3352123.4547431227,6627.034958968347,-3929.8047535089363,4705.361233480176,5457.400881057269,752.0396475770922,553.0761821404792,2010,1456.9238178595208,709.529197080292,670,-39.529197080291965
4821,AMORY,12760920.098,543.4168656126485,543.4168656126485,0.2361,2484282.136,824906.8019999992,10170600,679380,603000,170850,1453230,16080,720383.598,25426.500000000004,375200,0,0,2800450,1518,1434.4505032938075,11936013.296,7862.986361001317,9451731.16,2484282.136,2484282.136,2808486.5832,19.73466969355038,8630797,5685.637022397892,6226.436864295125,10401802.16,6852.307088274045,0,119,121,111,103,131,123,87,123,117,122,117,108,99,1518,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,4662402.55,AMORY,76.92046654807238,0.208,5228334.37,1410.86508,169,72,15,355521.69,829830.47,358.3998,315.744,88724.362,58.44819631093544,7917520.024,5215.757591567853,7593315.5768,5002.184174440053,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061925,0,0,0,75.9,1904.6149400000002,8406.403226613966,2484282.136,3445448.42646,1636.5494967061923,10276637.962,6769.853729907773,-2178120.414,3071.4114295125164,-1434.8619328063241,4314.03515625,5676.6796875,1362.64453125,1253.6600346317157,2009.9999999999998,756.3399653682841,422.5375,670,247.46249999999998
0400,ATTALA COUNTY,9022414.459935673,358.99141158931525,-93.62794247705096,0.3617,2436051.904182632,360427.37723567337,6726800,470340,502500,56950,1029790,0,729925.068,16817,225120,286092.03593567194,7870.356000000029,2800510,1004,3822.272835956175,8661987.0827,8627.477174003983,6680365.01,1981622.0727,2935606.8279999997,1981622.0727,1.7252578138630297,5643432,5620.948207171315,6653.750009960159,7339341.01,7310.10060756972,48,82,84,67,56,69,56,66,82,84,82,68,72,72,1004,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,221821.22,724921.79,363.1468,294.17199999999997,104843.101,104.42539940239044,4403734.182,4386.189424302789,5357718.937299999,5336.373443525896,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1973.7271640438248,0.032747421861369704,0.011700000000000044,11.746800000000043,50.2,1303.92872,8986.468585593298,2935606.8279999997,2436051.904182632,2426.346518110191,6586362.555753041,6560.122067483108,-3384008.4958173684,5796.872908366534,-3370.526390256343,4790.0329670329675,5658.186813186813,868.1538461538457,806.6005399109121,2010,1203.3994600890878,1001.0535714285714,670,-331.05357142857144
5920,BALDWYN,6282021.304,56.03370555555557,-297.8516244444454,0.2834,1696145.75208,42361.48139999993,5065200,285420,276375,0,561795,6700,430643.304,12663.000000000002,205020,0,0,2800540,756,3994.306292857143,6239659.8226,8253.518283862433,4811051.38,1428608.4426,2409164.94,1428608.4426,11.483745047638775,4166149,5510.7791005291,6363.824576719577,5291142.38,6998.865582010581,0,67,58,56,64,58,56,58,68,67,51,56,39,44,756,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4448889.35,BALDWYN,65.83218252093158,0.246,2408297.18,688.707339,71,33,0,176942.75,456930.63,214.2504,185.97600000000003,86041.605,113.81164682539682,2881977.44,3812.139470899471,3862533.9374,5109.171874867725,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1889.693707142857,0,0,0,37.800000000000004,937.61512,8309.551989417989,2409164.94,1696145.75208,2243.579037142857,4585875.5519199995,6065.972952275131,-2752743.5979199996,5884.774272486772,-3641.195235343915,4548.7692307692305,5401.875,853.1057692307695,1026.053472830109,2010,983.9465271698909,865.0490196078431,670,-195.0490196078431
2320,BAY ST. LOUIS,14369822.32,306.9702292464117,-115.5657394736827,0.2935,3879852.0264000003,513254.22330000065,11202400,767820,795625,113900,1677345,45560,986371.3200000001,28006.000000000004,430140,0,0,2800570,1672,4276.050306997608,13856568.0967,8287.421110466506,10683196.21,3173371.8867,7071755.796,3173371.8867,89.03631856390174,8998844,5382.0837320574165,6389.471417464114,11753229.21,7029.443307416267,58,113,142,109,125,114,117,115,142,131,112,153,133,90,1672,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10323680.67,BAY ST. LOU,18.778853696651872,0.246,8233825.93,1530.40499,191,95,10,373286.09,999761.12,490.732,411.31200000000007,252562.707,151.05425059808613,4681473.413999999,2799.924290669856,8579857.323299998,5131.493614413875,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1897.9496930023925,0,0,0,83.60000000000001,2144.7495999999996,8594.391339712918,7071755.796,3879852.0264000003,2320.485661722488,10489970.2936,6273.905677990431,-6443828.6436,6174.450161483253,-3853.964499760765,4231.72972972973,5666.706081081081,1434.9763513513508,1034.1384198825426,2010,975.8615801174574,186.10591900311528,670,483.8940809968847
0500,BENTON COUNTY,8734089.939402934,662.967395840722,662.967395840722,0.3462,1478309.8120000002,637111.6674029343,6438700,490440,603000,56950,1150390,28140,668723.382,16096.750000000002,207700,224339.80740293438,0,2800600,961,741.696345473465,8096978.272,8425.57572528616,6618668.46,1478309.8120000002,1478309.8120000002,1967707.7442,2.3637321434465077,5252649,5465.81581685744,6887.272070759625,7287806.46,7583.5655150884495,16,93,62,68,74,58,66,73,70,87,76,71,69,60,961,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,220886.26,575744.2,332.6982,281.573,52796.779,54.93941623309053,5809496.648,6045.2618605619145,5320098.7158,5536.002826014568,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535,0.02636267856553492,0,0,48.050000000000004,1270.11196,9088.543121126882,1478309.8120000002,2358204.2836387926,1538.303654526535,7255780.127402934,7550.239466600347,-713506.6979999996,2280.7663995837665,-742.4627450572316,3828.6331658291456,5780.854271356784,1952.2211055276384,805.73392228404,2010,1204.26607771596,607.7322580645161,670,62.267741935483855
2420,BILOXI,49294357.024,803.2094980901584,271.15600439091486,0.3302,13309476.39648,4668253.602899998,38940400,1780860,2981500,170850,4933210,714220,3857436.0239999997,97351.00000000001,751740,0,0,2800630,5812,4565.054113713008,44626103.4211,7678.269687044047,34408921.93,10217181.4911,17883311.824,10217181.4911,302.4831359357475,29253636,5033.316586373021,5920.323800757054,37841412.93,6510.910689951824,120,459,485,441,447,419,361,430,405,464,493,409,403,405,5812,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,1316669.08,3226824.85,1919.1224,1511.12,638689.708,109.89155333792154,19958101.106,3433.9471964900204,27624231.4389,4752.964803664831,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1757.9458862869924,0,0,0,290.6,7357.36672,8481.479185134205,17883311.824,13309476.39648,2289.9993799862355,35984880.627519995,6191.479805147969,-23445131.35352,6323.917369236064,-4033.917989249828,4042.6142506142505,6060.454545454545,2017.8402948402945,910.5978696455213,2010,1099.4021303544787,385.15418894830657,670,284.84581105169343
