geoid,dist_id,district,total_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
2800820,5921,BOONEVILLE,1321,9895300.082,7490.764634,8475935.87,1419364.212,1419364.212,2520185.365,191.9886821,7346069,5560.990916,6416.302702,9334019.87,7065.874239,39,100,98,99,93,90,113,98,99,102,86,115,84,82,1321,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,4253175.59,BOONEVILLE,6.880613926,0.22,2787017.86,1164.18436,136,90,15,298956.11,710956.76,238.9689,290.62,50691.579,38.37364042,7914655.658,5991.412307,6813834.505,5158.088195,11719198,8871,4253175,3219,Town,96200,32016,795434,373889.8257,116419,1074.461932
2800840,4320,BROOKHAVEN,2586,20046136.1,7751.792767,15455477.02,4590659.075,6022839.676,4590659.075,17.19387533,13659606,5282.136891,5976.595909,17002441.02,6574.803179,77,196,201,212,196,158,199,159,169,228,220,189,194,150,2586,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,12128797.01,BROOKHAVEN,150.4023933,0.28,7496815.42,2368.99435,276,115,10,578745.37,1416898.65,1010.8674,724.08,215101.417,83.17920224,10979601.34,4245.785516,12411781.94,4799.60632,25588630,9895,12128797,4690,Town,101900,39841,1607701,776720.8617,280855,1775.196858
2800870,700,CALHOUN COUNTY,2080,16697802.46,8027.789646,13842580.22,2855222.244,2855222.244,4110825.389,3.546505165,12223903,5876.876442,6655.086644,15225279.22,7319.845779,86,150,158,134,149,139,155,151,164,138,169,166,150,130,2080,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,4965747.48,CALHOUN COU,586.492872,0.324,7455794.86,1911.48889,296,81,10,464211.75,1347776.47,564.096,673.92,101972.223,49.02510721,12370056.98,5947.142777,11114453.83,5343.487419,16996339,8171,4965747,2387,Rural,70500,37263,1368363,637279.4525,489806,1372.703002
2800900,4520,CANTON,3166,23722204.8,7492.800001,18291028.35,5431176.455,8080929.304,5431176.455,16.88371459,15486257,4891.426721,5777.330496,20115468.35,6353.590761,94,231,245,237,260,182,252,240,253,259,252,258,167,168,3166,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,16544485.96,CANTON,187.5179768,0.312,11363603.64,2751.11876,162,164,16,718289.38,1698647.97,1539.6258,987.792,288604.618,91.15749147,12034539.05,3801.181,14684291.9,4638.121256,32418576,10239,16544485,5225,Rural,153400,41939,1661921,897744.9743,393681,1715.469506
2800930,800,CARROLL COUNTY,805,6529842.098,8111.605091,5034134.77,1495707.328,2510623.22,1495707.328,1.281231936,4615780,5733.888199,6253.583565,5539656.77,6881.561205,20,54,53,50,69,56,54,53,61,79,83,63,47,46,805,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,2896775.33,CARROLL COU,628.301541,0.221,3245091.3,738.583333,94,38,5,180916.36,454766.41,344.1375,177.905,89665.115,111.385236,3029033.55,3762.774596,4043949.442,5023.53968,7295227,9062,2896775,3598,Rural,99000,46052,662293,248772.6822,99740,1858.021525
2800200,911,CHICKASAW COUNTY CONSOL,2214,17072270.86,7711.052784,14853286.46,2218984.404,2218984.404,4417524.394,5.496836148,12877302,5816.306233,6708.801472,16361201.46,7389.883225,59,194,183,174,154,146,134,150,152,171,195,168,150,126,2214,0.3313,838,46,23,0,28,12,5,25,109,5,72,5,77,0,5,362,79249443,4476040.07,CHICKASAW C,402.7771504,0.264,5634791.05,1955.66111,214,142,10,492494.54,1240723.92,733.4982,584.496,79249.443,35.7946897,14142217.06,6387.631913,11943677.07,5394.614754,17596108,7947,4476040,2021,NA,NA,NA,1520243,646341.7613,378375,1002.251312
2800990,1000,CHOCTAW COUNTY,1230,10726243.17,8720.522904,8273772.97,2452470.202,7774436.208,2452470.202,2.941601509,6945544,5646.78374,6726.644691,9083222.97,7384.734122,65,91,105,89,96,83,92,103,88,95,99,86,65,62,1230,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,11067317.21,CHOCTAW COU,418.1395734,0.296,4353851.68,1098.55556,176,106,0,269270.86,961634.11,285.114,364.08,277658.436,225.7385659,1308786.762,1064.054278,6630752.768,5390.855909,18110185,14723,11067317,8997,Rural,81400,36777,1236373,356057.8872,239967,1993.878213
2801020,1100,CLAIBORNE COUNTY,1188,9684908.692,8152.280044,7500071.24,2184837.452,2184837.452,2230544.315,2.437681092,6431257,5413.515993,6313.191279,8261275.24,6953.935387,39,75,91,87,90,61,83,80,97,93,96,109,73,81,1188,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,5292737.7,CLAIBORNE C,487.3484082,0.398,3868931.62,1017.72881,79,89,16,267400.93,609582.31,665.9928,472.824,78029.909,65.68174158,6076437.788,5114.846623,6030730.925,5076.372833,11915825,10030,5292737,4455,Rural,67500,29338,835413,360442.7021,371360,1839.088764
2801050,1420,CLARKSDALE,2118,15676519.16,7401.567121,13659296.85,2017222.312,2017222.312,4062293.87,112.7163168,11613241,5483.116619,6449.148654,15045532.85,7103.651015,75,173,167,153,179,121,110,183,110,167,190,164,149,133,2118,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,5040967.68,CLARKSDALE,18.79053593,0.516,14527676.69,1745.65093,114,102,20,471224.01,1126703.84,1197.3054,1092.888,72043.654,34.01494523,13028310.54,6151.232549,10983238.98,5185.665241,17102336,8074,5040967,2380,Town,65400,30223,1470046,616231.6251,213402,952.4184665
.,1425,CLARKSDALE COLLEGIATE,600,4477099.766,7461.832944,3990413.93,486685.8364,486685.8364,1194037.991,Inf,3152814,5254.69,6650.689883,4422362.93,7370.604883,0,69,73,78,76,5,70,75,0,0,0,0,0,0,511,0.5208,0,0,5,0,5,5,0,5,21,0,5,0,15,0,0,58,17381637.01,396211,CLARKSDALE C,0,0.516,1251932,416.883333,41,20,0,118507.23,113604.7,312.48,309.6,17381.63701,28.96939502,3935677.094,6559.461823,3228324.939,5380.541565,NA,NA,NA,NA,NA,NA,NA,68371,187836.3755,0,811.1430606
