geoid,dist_id,district,total_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
2800198,4211,GREENWOOD-LEFLORE CONS,4030,30650488.26,7605.580214,23630794.56,7019693.701,8108869.272,7019693.701,6.784593963,20329784,5044.611414,5863.720734,25998865.56,6451.331404,106,291,355,301,330,215,324,316,212,265,359,335,290,272,4030,0.5879,1232,127,48,0,42,14,5,38,143,5,61,5,132,5,5,495,289602474,12187376.13,GREENWOOD-L,593.9928052,0.473,16341008.19,3518.66111,317,171,15,912529.04,2114143.52,2369.237,1906.19,289602.474,71.86165608,17889996.29,4439.205034,18979171.86,4709.471925,32791498,8136,12187376,3024,NA,NA,NA,2360351,1162888.885,371679,1741.859479
2801680,2220,GRENADA,3864,30633768.02,7927.993795,23980788.71,6652979.312,6652979.312,7131604.962,9.155008377,22643366,5860.084369,6206.208258,26413351.71,6835.753548,152,346,334,279,271,252,266,250,281,288,280,258,245,253,3864,0.2991,1144,5,156,0,72,21,5,39,89,23,184,5,75,5,5,675,237606404,9572418.34,GRENADA,422.0640594,0.344,15370924.91,3285.71111,236,410,33,859235.85,1956298.86,1155.7224,1329.216,237606.404,61.49234058,19760372.4,5113.968012,19281746.75,4990.10009,30737672,7954,9572418,2477,Town,105000,40122,3357478,1112608.063,380913,1721.785536
2801710,2421,GULFPORT,6113,47785440.98,7817.019627,36836092.93,10949348.05,12165904.83,10949348.05,271.2453621,32914005,5384.263864,6025.861759,40553140.93,6633.918032,81,484,523,498,449,482,456,466,460,485,549,416,360,401,6113,0.4456,1636,320,122,0,112,73,5,37,149,17,150,5,316,5,5,992,434496601,31515294.04,GULFPORT,22.53679087,0.328,22103133.67,5786.39444,577,392,27,1394972.68,3099817.25,2723.9528,2005.064,434496.601,71.0774744,28387236.1,4643.748749,29603792.88,4842.760163,63856597,10446,31515294,5155,City,135900,36464,4718089,1856002.9,560025,1791.157869
2801740,2300,HANCOCK COUNTY,4060,33037286.7,8137.262734,25469273.08,7568013.622,12012236.94,7568013.622,10.28833036,22007459,5420.556404,6273.21997,28029680.08,6903.862089,5,296,342,338,316,302,289,295,319,344,337,314,293,241,4060,0.2348,1309,0,91,0,75,44,5,29,150,12,67,5,257,0,5,736,429008462,19348284.81,HANCOCK COU,394.6218537,0.211,10670942.95,3713.07263,482,241,17,931929.63,2259750.45,953.288,856.66,429008.462,105.6671089,16017443.14,3945.18304,20461666.46,5039.819325,41625877,10252,19348284,4765,Rural,135900,53182,3003329,1208492.213,628698,1864.042764
2801770,2400,HARRISON COUNTY,14355,109974373.5,7661.050055,84779476.92,25194896.62,30333828.2,25194896.62,31.39476026,73342961,5109.227517,5905.919674,93314431.92,6500.482892,0,1047,1232,1180,1070,1093,1091,1141,1155,1253,1296,1087,832,784,14355,0.3484,3413,624,256,5,294,104,24,77,579,40,486,22,332,5,5,2228,1083351007,56565734.38,HARRISON CO,457.2419053,0.226,30180940.03,13107.5533,1205,969,55,3296698.16,7221819.76,5001.282,3244.23,1083351.007,75.46854803,62980603.72,4387.363547,68119535.3,4745.352511,130826693,9113,56565734,3940,Rural,147400,51499,9073970,4185580.127,966721,1755.130381
2801800,1820,HATTIESBURG,3667,28071154.3,7655.073438,21645436.99,6425717.307,10077916.02,6425717.307,151.6861203,18204749,4964.480229,5902.764382,23798952.99,6490.03354,96,357,347,305,275,269,209,275,237,269,259,256,235,182,3667,0.5398,1463,202,65,0,62,14,5,37,110,19,92,5,79,5,5,483,359925572,23641465.01,HATTIESBURG,24.17492117,0.339,16408732.55,3235.37222,251,218,29,828148.16,2079969.83,1979.4466,1243.113,359925.572,98.15259667,13721036.97,3741.760833,17373235.68,4737.724484,42378784,11556,23641465,6447,City,106900,33639,2403680,1061450.1,680291,1752.309056
2801830,1520,HAZLEHURST,1368,10146826.22,7417.270631,7823792.31,2323033.914,3159608.676,2323033.914,4.141842972,6715514,4909.001462,5719.146425,8603829.31,6289.348911,39,101,98,89,125,83,97,123,66,131,105,116,90,84,1368,0.5122,524,137,5,0,5,5,5,14,5,5,24,5,37,5,0,107,112843167,5442692.68,HAZLEHURST,330.287751,0.317,4178602.9,1174.90906,47,58,10,309941.99,726902.32,700.6896,433.656,112843.167,82.48769518,5444220.634,3979.693446,6280795.396,4591.224705,12229640,8939,5442692,3978,Town,89900,37137,661335,413062.2707,132461,1698.124206
2801860,2500,HINDS COUNTY,4968,38457133.44,7740.968889,29652487.56,8804645.881,12272488.31,8804645.881,7.864957046,25479863,5128.7969,5968.697174,32609799.56,6563.969316,86,329,320,326,362,309,380,399,367,391,452,434,352,399,4968,0.3017,1212,74,50,0,56,19,5,42,112,16,101,5,225,5,0,631,438303154,28401203.2,HINDS COUNT,631.6626996,0.204,10854508.62,4539.08777,393,222,21,1141362.53,2780140.03,1498.8456,1013.472,438303.154,88.22527254,20337311.25,4093.661684,23805153.68,4791.6976,54132188,10896,28401203,5716,Rural,149700,60334,2923802,1502575.544,0,1772.271715
2801890,7611,HOLLANDALE,548,4672290.464,8526.077489,3731608.4,940682.064,940682.064,1109325.618,2.873005181,3244025,5919.75365,6809.50438,4108613.4,7497.469708,40,33,29,32,45,49,36,30,46,47,47,35,37,32,548,0.7313,20,0,5,0,5,5,0,5,23,0,11,0,23,0,5,83,33595788,1852461.6,HOLLANDALE,190.7410413,0.366,4336243.53,486.931409,51,26,5,123415.81,327941.59,400.7524,200.568,33595.788,61.30618248,3167931.336,5780.896599,2999287.782,5473.152887,5132712,9366,1852461,3380,Rural,67300,32604,335956,153181.2118,0,1716.573109
2801950,4720,HOLLY SPRINGS,1025,8414652.4,8209.416975,6488521.85,1926130.55,2606961.504,1926130.55,5.711054768,5870114,5726.940488,6330.26522,7133816.85,6959.821317,17,75,87,90,88,68,73,85,63,71,96,86,72,43,1025,0.43,342,22,15,0,23,5,5,5,65,5,25,0,40,0,5,191,93105768,5233731.99,HOLLY SPRIN,179.4764788,0.329,4063947.91,930.405556,128,55,10,236079.49,637854.36,440.75,337.225,93105.768,90.83489561,4526855.346,4416.44424,5207686.301,5080.669561,10848319,10583,5233731,5106,Town,88900,36744,977384,314546.6953,162627,1879.151756
2800195,2611,HOLMES CONSOL,2544,19221156.46,7555.486028,15672328.6,3548827.856,3548827.856,4658891.742,3.36254365,13537544,5321.361635,6160.506525,17255154.6,6782.686557,101,188,176,170,203,134,161,223,174,202,213,220,188,182,2544,0.5658,878,5,5,0,29,32,5,24,90,5,32,0,91,0,5,312,126743852,6609648.9,HOLMES CONS,756.5701042,0.433,20286509.1,2157.23261,210,98,10,569395.68,1331077.92,1439.3952,1101.552,126743.852,49.82069654,13706326.74,5387.707053,12596262.86,4951.361186,20381503,8011,6609648,2598,Rural,60400,21504,1299812,731409.3179,344157,1394.979503
2802040,2700,HUMPHREYS COUNTY,1207,10690063.68,8856.722184,8273465.1,2416598.576,2416598.576,2463073.677,2.883267673,7296613,6045.246893,6854.569263,9122495.1,7557.990969,0,78,63,66,105,56,79,108,106,114,121,123,95,68,1207,0.6359,641,0,5,0,5,5,5,21,67,5,22,0,62,5,5,210,86307092,3266347.3,HUMPHREYS C,418.6222498,0.433,4763728.07,1194.56182,134,58,15,277451.84,608771.26,767.5313,522.631,86307.092,71.50546147,6705896.524,5555.838048,6659421.423,5517.333408,10653589,8826,3266347,2706,Town,69100,28962,906418,367458.9429,234793,2002.152921
2802100,2900,ITAWAMBA COUNTY,3375,27709042.69,8210.086722,23082908.14,4626134.548,4626134.548,6863000.708,6.335388022,19941628,5908.630519,6839.38019,25418521.14,7531.413671,0,283,271,256,248,258,227,249,285,268,234,269,230,217,3375,0.1791,972,22,42,0,30,34,5,22,127,5,288,5,157,5,5,727,165219091,7590614.85,ITAWAMBA CO,532.7219088,0.159,7372394.53,3113.61667,314,396,15,774387.48,1986813.66,604.4625,536.625,165219.091,48.95380474,20792386.59,6160.707138,18555520.43,5497.93198,27912321,8270,7590614,2249,Rural,87600,44567,2705112,991291.2718,431103,1370.706533
2802160,3000,JACKSON COUNTY,8906,67089914.93,7533.114185,51719615.59,15370299.34,16684565.72,15370299.34,17.34046799,44651755,5013.671121,5807.277744,56927034.59,6391.986817,0,622,676,645,613,664,642,690,709,713,791,697,686,589,8906,0.1588,1959,190,123,0,102,48,14,37,212,36,224,5,457,5,5,1263,595877347,39052547.89,JACKSON COU,513.5962884,0.152,19167342.79,8023.70787,771,451,46,2053657.83,4357233.76,1414.2728,1353.712,595877.347,66.90740478,40242468.87,4518.579483,41556735.25,4666.150376,84361271,9472,39052547,4384,Rural,146700,56700,4881551,2579227.051,675496,1725.836441
2802190,2520,JACKSON PUBLIC,18710,144925832.9,7745.902345,111772614.3,33153218.55,35388877.89,33153218.55,179.7390101,97624406,5217.766221,5973.950525,122789698.3,6562.784517,800,1273,1357,1325,1473,1134,1365,1361,1046,1280,1775,1560,1339,1336,18710,0.5392,5053,415,191,5,249,84,18,347,373,29,383,5,485,5,5,2181,1263888496,96927943.61,JACKSON PUB,104.0953769,0.401,67919104.22,16679.1833,1107,1028,44,4155700.27,11759441.05,10088.432,7502.71,1263888.496,67.55149631,87400820.43,4671.342621,89636479.77,4790.832698,192785416,10303,96927943,5180,City,89100,38399,10955513,5655999.467,1437620,1771.95182
2802250,3300,JEFF DAVIS COUNTY,1235,10669708.07,8639.439736,8227474.72,2442233.354,2990386.364,2442233.354,3.024068154,6801130,5506.987854,6661.92285,9045308.72,7324.136615,0,91,106,80,112,83,95,91,89,92,107,92,99,85,1235,0.3773,508,5,18,0,14,5,5,5,58,5,30,5,71,5,0,209,106799513,5841123.54,JEFF DAVIS,408.3902667,0.372,7500445.03,1128.20879,143,68,10,288437.71,823222.01,465.9655,459.42,106799.513,86.47733846,6054922.356,4902.771138,6603075.366,5346.619729,12956938,10491,5841123,4729,Rural,94600,32116,911544,373889.8257,250985,1977.516886
2802220,3200,JEFFERSON COUNTY,1063,8399079.692,7901.297923,6880586.52,1518493.172,1518493.172,2046301.25,2.044774724,5866334,5518.658514,6472.800113,7578893.52,7129.721091,38,83,81,72,73,69,82,79,74,79,100,90,56,66,1063,0.5077,392,0,16,0,15,5,0,5,16,5,23,0,53,0,0,140,54231899,3264024.33,JEFFERSON C,519.8616686,0.429,7157999.7,935.093407,84,49,5,235845.75,568908.77,539.6851,456.027,54231.899,51.01777893,6060400.348,5701.223281,5532592.27,5204.696397,9339856,8786,3264024,3070,Rural,63400,25019,660344,303146.5347,176238,1428.49781
2802280,3400,JONES COUNTY,8524,65530051.63,7687.711359,54844244.16,10685807.47,10685807.47,16320890.92,12.53282804,49078756,5757.714219,6434.097156,60447744.16,7091.476321,213,624,688,620,597,641,573,626,628,652,679,672,560,556,8524,0.2359,1977,587,123,0,105,73,14,64,290,88,343,5,470,5,5,1585,381635981,24411833.97,JONES COUNT,680.1338035,0.206,18990452.13,7660.86304,865,622,98,1923229.75,4166069.41,2010.8116,1755.944,381635.981,44.77193583,49761936.69,5837.862118,44126853.24,5176.777714,73166778,8583,24411833,2863,Rural,102600,46981,6678155,2496790.025,718492,1253.614203
2802310,3500,KEMPER COUNTY,884,7993727.303,9042.677945,6166645.53,1827081.773,9677971.52,1827081.773,1.153930892,5063006,5727.382353,6975.84336,6766969.53,7654.942907,22,64,69,47,57,58,48,64,52,68,79,107,72,52,884,0.491,319,0,13,0,5,5,5,5,36,5,27,0,26,0,0,123,345641840,7984702.55,KEMPER COUN,766.0770732,0.38,4120973.57,806.191011,67,55,5,200784.44,742557.09,434.044,335.92,345641.84,390.9975566,-2911001.99,-3292.988676,4939887.757,5588.108322,13208006,14941,7984702,9032,Rural,73600,31103,662251,267481.7626,212390,2066.834585
2802340,420,KOSCIUSKO,2123,16354065.65,7703.281043,13300790.73,3053274.924,3053274.924,3950008.937,13.88364054,11686571,5504.743759,6265.092195,14629662.73,6891.032845,126,150,149,149,130,139,160,187,141,172,185,147,110,161,2123,0.3232,573,26,34,0,28,19,5,18,85,5,76,5,109,5,0,380,109045533,5823437.56,KOSCIUSKO,152.9137833,0.301,9306818.41,1876.07778,222,157,10,459536.91,1279002.82,686.1536,639.023,109045.533,51.36388742,11576387.81,5452.843997,10679653.79,5030.453977,17385688,8189,5823437,2743,Town,97600,32570,1771548,642541.4094,37629,1438.188848
2802370,3600,LAFAYETTE COUNTY,2872,22266778.98,7753.056749,17280134.55,4986644.432,4986644.432,5131261.049,5.265027288,14682761,5112.381964,6016.759941,19004670.55,6617.225122,88,209,223,193,212,172,210,218,207,238,233,241,176,211,2872,0.1609,872,39,46,0,34,41,5,5,158,13,84,5,152,5,5,554,178094444,12444490.33,LAFAYETTE C,545.4862516,0.157,4294321.9,2487.40988,344,186,23,642089.47,1633197.08,462.1048,450.904,178094.444,62.01060028,14018026.12,4880.928314,13873409.5,4830.574339,27449338,9557,12444490,4333,Town,149100,53438,1883710,811507.5967,343697,1736.296808
2802400,3700,LAMAR COUNTY,10276,79915744.05,7776.931106,61622538,18293206.05,18456790.86,18293206.05,18.48210988,57470339,5592.676041,5996.743675,67752615,6593.286785,256,785,759,698,727,684,761,721,775,815,923,849,712,639,10276,0.186,3020,334,207,0,81,54,5,46,379,33,424,16,676,5,5,1926,659171102,38313782.71,LAMAR COUNT,555.9971274,0.167,22842073.31,9204.80556,1136,752,43,2338823.16,5947122.84,1911.336,1716.092,659171.102,64.14666232,49295824.14,4797.18024,49459408.95,4813.099353,91650374,8918,38313782,3728,Rural,177100,60830,7523075,3018306.427,905221,1780.187432
2802430,3800,LAUDERDALE COUNTY,5910,46427507.17,7855.754175,37073600.82,9353906.352,9353906.352,11018307.1,9.094489642,32009830,5416.21489,6273.028904,40808544.82,6904.999124,79,451,471,407,404,394,421,428,447,428,496,506,427,439,5910,0.2524,1942,96,111,0,84,43,5,32,185,32,183,5,198,5,5,893,334068084,17790339.4,LAUDERDALE,649.844052,0.185,12958370.16,5234.47296,467,379,42,1350561.68,3226031.14,1491.684,1093.35,334068.084,56.52590254,31454638.47,5322.273852,29790237.72,5040.64936,50287347,8508,17790339,3010,Rural,114600,52855,3790720,1716854.17,890464,1582.725271
2802460,3420,LAUREL,2712,19887928.27,7333.306886,15333329.68,4554598.594,6061171.2,4554598.594,185.5597124,15119073,5574.879425,5653.882625,16868883.68,6220.089853,111,227,227,224,220,168,212,203,187,189,202,182,175,148,2712,0.4761,419,194,39,0,29,32,5,27,87,20,84,5,101,5,5,424,216470400,14655250.7,LAUREL,14.61524145,0.336,8772059.28,2311.04469,217,192,30,603054.54,1369722.14,1291.1832,911.232,216470.4,79.81946903,10807712.48,3985.14472,12314285.09,4540.665592,28015803,10330,14655250,5403,Town,84700,31481,1752686,818523.8375,182120,1679.42426
2802490,3900,LAWRENCE COUNTY,1696,14406971.5,8494.676592,11108654.37,3298317.13,3469638.06,3298317.13,3.939213313,9340471,5507.353184,6549.914133,12215989.37,7202.823921,0,146,128,121,137,110,133,124,106,140,146,158,119,102,1696,0.3284,581,17,27,5,34,5,5,16,96,5,34,0,66,5,5,294,123915645,7374467.95,LAWRENCE CO,430.5428179,0.257,4744510.8,1567.43825,196,87,20,394790.36,1079159.01,556.9664,435.872,123915.645,73.06346993,8746351.31,5157.046763,8917672.24,5258.061462,17009172,10028,7374467,4348,Rural,94800,41914,1246734,517424.2658,300491,1944.762459
2802520,4000,LEAKE COUNTY,2532,20484122.06,8090.095602,16752952.02,3731170.044,3731170.044,4982155.295,4.344414922,14271744,5636.549763,6616.489739,18452427.02,7287.688397,0,200,214,182,170,164,183,153,179,221,230,214,146,178,2532,0.3133,703,273,41,0,84,19,5,24,53,13,104,5,102,0,0,445,133256073,5407327.41,LEAKE COUNT,582.8172598,0.289,10802074.2,2305.08907,239,198,13,585523.89,1380629.13,793.2756,731.748,133256.073,52.62878081,14721256.98,5814.082534,13470271.72,5320.012529,20194126,7975,5407327,2135,Town,83300,37096,2171897,753334.2873,330948,1473.605863
2802550,4100,LEE COUNTY,6303,49787871.65,7899.075306,39506673.23,10281198.42,10281198.42,11727518.91,20.45800627,33279992,5280.024116,6267.915791,43435255.23,6891.203432,0,501,507,496,465,426,464,476,487,499,522,530,428,433,6303,0.246,1605,125,84,0,87,36,5,39,227,11,141,5,341,5,5,984,367185658,23825813.85,LEE COUNTY,308.0945384,0.196,12212271.08,5627.86111,655,310,21,1458784.26,3866068.97,1550.538,1235.388,367185.658,58.25569697,33154056.81,5260.043917,31707736.32,5030.578505,58007633,9203,23825813,3780,Rural,121200,49723,3681223,1827354.369,540267,1631.159515
.,4225,LEFLORE LEGACY,300,2387339.615,7957.798717,1902417.16,484922.4552,484922.4552,569206.2132,0.5,1703264,5677.546667,6341.390533,2108171.16,7027.2372,0,0,0,0,0,0,0,89,5,87,0,0,0,0,241,0.5622,5,0,0,0,0,5,0,5,5,5,5,0,11,0,0,22,17318659.12,772039.69,LEFLORE LEG,0.5,0.473,1012642.76,180.584932,16,15,5,55396.87,56793.29,168.66,141.9,17318.65912,57.72886372,1623248.705,5410.829016,1538964.947,5129.883156,NA,NA,NA,NA,NA,NA,NA,46028,98796.61876,0,1616.408184
2802610,7612,LELAND,700,5662226.423,8088.894889,4366193.38,1296033.043,1821726.508,1296033.043,3.672849704,3691126,5273.037143,6237.419114,4800122.38,6857.317686,42,43,40,50,54,44,57,55,53,66,54,43,45,29,700,0.5896,248,0,5,0,5,5,0,15,36,5,5,0,27,0,0,90,65061661,3894638.12,LELAND,190.5877061,0.305,5355699.91,631.15,68,30,5,152867.31,437800.07,412.72,213.5,65061.661,92.94523,2978395.872,4254.851246,3504089.337,5005.841911,7670164,10957,3894638,5563,Town,72000,38088,403540,196738.4716,139560,1851.475775
2802640,4300,LINCOLN COUNTY,2795,21972495.01,7861.357786,18654290.36,3318204.652,3318204.652,5552462.887,6.414606714,16291711,5828.876923,6674.164708,20564677.36,7357.666318,0,218,247,188,207,207,218,221,227,219,240,237,176,171,2795,0.2343,1000,12,22,0,19,12,5,27,122,5,58,0,167,5,5,437,118507309,6118841.94,LINCOLN COU,435.7242969,0.204,4856062.13,2580.22472,308,124,15,649101.73,1383288.63,654.8685,570.18,118507.309,42.39975277,17246472.71,6170.473241,15012214.47,5371.096412,22740741,8136,6118841,2189,Rural,95000,50288,1605913,815307.9486,325768,1187.193078
2802670,2422,LONG BEACH,2929,23289431.9,7951.325334,19038032.36,4251399.544,4251399.544,5665847.497,180.4985717,17060468,5824.673267,6499.840341,20984620.36,7164.43167,37,194,226,211,178,214,242,216,199,245,269,237,208,205,2929,0.2292,657,48,60,0,74,30,5,16,95,14,105,5,109,0,5,511,151835698,10147927.49,LONG BEACH,16.22727522,0.171,10563525.94,2663.46667,278,221,19,668969.81,1432179.55,671.3268,500.859,151835.698,51.83874974,16733220.82,5712.946677,15318772.86,5230.035119,27084810,9247,10147927,3464,Suburb,151300,53491,2371597,852141.6466,222298,1451.484993
2802700,8020,LOUISVILLE,2523,20530391.86,8137.293642,15977227.97,4553163.888,4553163.888,4745276.452,4.155359423,13490290,5346.924296,6332.630983,17575097.97,6965.952426,39,173,208,176,155,145,184,163,214,234,212,206,189,185,2523,0.3781,958,5,22,0,30,5,5,11,57,5,33,5,110,0,5,288,162612996,8706891.66,LOUISVILLE,607.1676943,0.3,8989137.49,2317.5366,197,81,10,574304.27,1500172.7,953.9463,756.9,162612.996,64.45223781,13021934.08,5161.289767,12829821.52,5085.145271,22609642,8961,8706891,3451,Town,84900,34724,1458545,767365.8739,483678,1804.662659
2802730,4400,LOWNDES COUNTY,5261,41164206.98,7824.407333,31731935.14,9432271.838,14721070.06,9432271.838,11.97110432,27400597,5208.248812,6031.540608,34934340.14,6640.247128,133,366,424,356,356,354,401,355,421,403,482,401,341,389,5261,0.2349,1571,29,77,0,74,42,5,25,181,20,161,5,282,5,5,874,525752502,32506676.7,LOWNDES COU,439.4749107,0.182,11894740.24,4739.23333,537,315,30,1197694.37,2670741.77,1235.8089,957.502,525752.502,99.9339483,20213270.08,3842.096576,25502068.3,4847.380403,60370175,11475,32506676,6178,Rural,139400,61457,3521717,1550810.297,514790,1792.866725
2802790,4500,MADISON COUNTY,13162,100539377.6,7638.609454,77528597.74,23010779.9,43065030.43,23010779.9,24.9875828,65947698,5010.461784,5890.335644,85225110.74,6475.088189,85,888,1009,942,929,917,1001,943,978,1038,1151,1128,992,916,13162,0.128,4890,599,213,0,91,76,17,75,325,65,404,5,396,5,5,1680,1538036801,81414049.97,MADISON COU,526.7416262,0.101,18540132.69,11965.6851,812,790,75,3033504.59,7529248.15,1684.736,1329.362,1538036.801,116.8543383,42160080.31,3203.166716,62214330.84,4726.814378,148379894,11273,81414049,6185,Suburb,228300,83293,6936614,3809644.233,1200043,1748.273811
2802820,4600,MARION COUNTY,1904,16065281.57,8437.647883,13228981.39,2836300.18,2836300.18,3935226.615,3.999376132,11385341,5979.695903,6947.994428,14574913.39,7654.891486,40,144,147,119,138,116,128,166,148,175,177,154,120,114,1904,0.3229,757,5,15,0,11,12,5,14,145,5,45,5,83,0,0,334,101296435,5635882.7,MARION COUN,476.0742519,0.274,9011834.97,1727.22803,239,96,5,436162.7,1082127.69,614.8016,521.696,101296.435,53.20190914,11738613.21,6165.23803,10639686.77,5588.070785,17346573,9110,5635882,2960,Rural,86200,32855,1346342,567705.0874,483338,1489.653456
2802850,4700,MARSHALL COUNTY,2777,21643019.97,7793.669417,16686253.89,4956766.08,9647182.244,4956766.08,5.273335491,13925285,5014.506662,6008.733846,18358392.89,6610.872485,0,213,223,189,234,185,239,216,175,217,272,208,197,160,2777,0.2866,1009,232,34,0,30,18,5,32,56,14,35,5,116,5,5,346,344542223,10457297.79,MARSHALL CO,526.6116682,0.278,9336823.97,2487.44911,202,129,24,640687.01,1496618.88,795.8882,772.006,344542.223,124.0699399,8711210.646,3136.914169,13401626.81,4825.936914,25006245,9004,10457297,3765,Rural,113500,46662,1722545,806245.6398,195664,1784.935571
2802880,5720,MCCOMB,2140,17066555.63,7975.025994,13158987.51,3907568.118,3973191.964,3907568.118,48.53163932,11284482,5273.12243,6149.059584,14472474.51,6762.838556,61,153,181,162,165,138,135,161,128,201,177,169,132,126,2140,0.5119,714,42,18,0,23,5,5,28,63,5,62,5,58,0,0,271,141899713,8534905.3,MCCOMB,44.09494569,0.372,9335373.91,1879.98276,144,123,5,478937.5,1251661.01,1095.466,796.08,141899.713,66.3082771,10499282.55,4906.206797,10564906.39,4936.872146,19963294,9328,8534905,3988,Town,96100,28571,1699242,655404.07,396130,1825.96641
2802910,3820,MERIDIAN,4614,34468573.52,7470.432058,26583817.62,7884755.897,10295364.35,7884755.897,85.86799935,23010848,4987.179887,5761.555618,29202799.62,6329.172003,169,342,368,370,423,250,318,382,259,324,353,366,304,256,4614,0.6029,1157,74,72,0,40,51,5,55,63,43,189,5,110,0,5,636,367691584,22438180.79,MERIDIAN,53.73363808,0.363,17171470.7,4011.7486,213,377,48,1024257.75,2772313.87,2781.7806,1674.882,367691.584,79.69041699,18907435.27,4097.840327,21318043.72,4620.295562,45225426,9801,22438180,4863,Town,83300,32422,3002434,1390905.524,469928,1708.876441
.,2525,MIDTOWN PUBLIC CHARTER,360,2815134.769,7819.818802,2277965.27,537169.4987,537169.4987,679988.3229,3.5,1796056,4989.044444,6327.681306,2518475.27,6995.764639,0,0,0,0,0,23,33,97,63,68,0,0,0,0,284,0.5771,5,0,5,0,0,5,0,5,5,0,5,0,5,0,0,32,19184624.95,1066233.8,MIDTOWN PUB,3.5,0.401,775995.33,211.281081,10,20,0,65214.04,120124.23,207.756,144.36,19184.62495,53.29062487,1981305.771,5503.627143,1838486.947,5106.908186,NA,NA,NA,NA,NA,NA,NA,80150,107764.053,0,1492.137496
2802940,4800,MONROE COUNTY,2119,17797772.79,8399.137703,14074592.94,3723179.852,3723179.852,4180705.364,5.350695927,12254150,5782.987258,6642.091996,15484093.94,7307.264719,0,159,169,162,143,169,130,141,174,161,186,179,143,163,2119,0.1451,845,5,24,0,28,13,5,24,97,5,60,5,138,5,5,403,132970709,5580181.42,MONROE COUN,396.0232517,0.154,4217787.34,1931.62778,263,131,15,490390.86,1320409.08,307.4669,326.326,132970.709,62.75163237,11760914.09,5550.219013,11303388.58,5334.303245,17843974,8420,5580181,2633,Rural,102700,46754,1801989,624709.4709,515714,1757.045706
2803000,3020,MOSS POINT,1569,15350276.76,9783.477859,11832362.41,3517914.351,4780407.772,3517914.351,15.13929964,10544373,6720.441683,7541.339968,13029312.41,8304.21441,21,128,127,118,107,109,114,129,121,128,110,134,103,94,1569,0.532,640,70,26,0,16,11,5,24,48,5,46,0,64,0,0,240,170728849,9817268.92,MOSS POINT,103.6375551,0.297,10835532.81,1360.7095,128,112,5,362300.21,1055633.2,834.708,465.993,170728.849,108.813798,8248904.638,5257.428068,9511398.059,6062.07652,20231697,12894,9817268,6257,Suburb,94200,41902,1283115,461588.8083,330910,2242.137891
2800186,617,N. BOLIVAR CONS,780,7540950.29,9667.884987,6524295.91,1016654.38,1016654.38,1942011.696,3.782567738,5777924,7407.594872,8364.481936,7192635.91,9221.32809,0,52,49,55,63,58,72,73,77,60,71,61,5,47,780,0.6003,343,5,5,0,11,5,0,15,20,5,11,0,41,0,0,107,36309085,2269876.21,N. BOLIVAR,206.2091294,0.605,5382890.59,752.995912,72,36,5,181851.33,527345.58,468.234,471.9,36309.085,46.55010897,6175981.53,7917.925038,5250624.214,6731.569506,8084975,10365,2269876,2910,Rural,66600,24072,452787,246433.9352,232073,1303.403051
2803270,7011,N. TIPPAH,1286,10034672.96,7803.011636,8701996.08,1332676.884,1332676.884,2588901.232,6.591795771,7718495,6001.940124,6766.715459,9588523.08,7456.083266,40,94,113,103,103,77,72,110,92,89,101,97,94,83,1286,0.1774,389,0,27,0,19,5,5,5,67,5,23,0,155,0,0,306,47595603,3285728.73,N. TIPPAH,195.0909956,0.257,4015698.98,1149.93333,241,65,5,292645.07,695852.01,228.1364,330.502,47595.603,37.01057776,8255846.196,6419.787089,6999621.848,5442.940784,10999227,8553,3285728,2554,Rural,81900,36925,895049,378274.6406,59502,1036.296177
