geoid,dist_id,district,maep_expected_local_addon_total,maep_expected_local_addon_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_fy24_addon_total,maep_full_addon_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,maep_rev_full_funding_fy24,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,teacher_add_fy24,ada_add_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
2800360,4820,ABERDEEN,8298173.6754,8314.803281963928,5619475,1764178.6554,3032312.136,1764178.6554,998,4.6400706363317905,5461563,5472.508016032064,5630.736472945891,6533995.02,6547.089198396793,0,76,64,71,87,49,70,79,68,74,103,81,77,78,0.4201,317,0,13,0,11,14,0,16,32,5,28,5,31,0,0,151,108296862,6265332,6114256.61,ABERDEEN,215.08293261435546,0.309,4672500.27,910.472222,74,76,5,682414.14,232105.88,419.2598,308.382,108296.862,108.51388977955911,3501682.8839999996,3508.7002845691377,4769816.364599999,4779.375114829659,11733731,11757,6114256,6126,Town,77200,39991,743263,304899.92361736,56314,1767.7140835671344
2800390,0200,ALCORN COUNTY,25235482.044,7915.772284818067,17920968,4816058.044,4816058.044,5513244.48,3188,8.627912006495674,17423282,5465.270388958595,5621.382685069008,20419424,6405.089084065245,135,210,243,246,219,233,194,233,232,240,256,235,237,200,0.1905,1369,29,43,0,41,5,5,43,128,15,59,5,220,5,0,563,172002073,19980659,9459645.49,ALCORN COUN,369.498436887147,0.188,7744573.91,2814.40782,389,160,20,1787412.62,711043.38,607.314,599.344,172002.073,53.95297145545797,15603365.956,4894.405883312422,14906179.52,4675.715031367628,27380613,8588,9459645,2967,Rural,94100,44520,2366894,915285.1288694399,703630,1510.683200752823
.,2545,AMBITION PREP,3624668.4992121863,9176.375947372624,2669990,747119.549212186,747119.549212186,776938.2165000001,395,Inf,2151984,5448.060759493671,6759.46835443038,2877548.95,7284.934050632912,0,79,79,83,87,67,0,0,0,0,0,0,0,0,0.5627,0,0,5,0,5,0,0,5,11,0,5,0,5,0,0,28,26682841.04329236,2976857,1342962.18,AMBITION PR,0,0.401,1608020.68,277.804469,21,15,0,118269.48,89289.47,222.26649999999998,158.395,26682.84104329236,67.55149631213256,2130429.400787814,5393.4921538932,2100610.7335,5318.001856962025,NA,NA,NA,NA,NA,NA,NA,41826,134704.84246284,0,1891.4418967397114
2800420,0300,AMITE COUNTY,7746353.1509,9081.304983470105,5355735,1646862.4809,3221128.96,1646862.4809,853,1.1684933064056744,5418370,6352.133645955451,6278.704572098476,6099490.67,7150.633845252051,0,71,63,61,73,63,61,59,59,68,65,73,47,62,0.549,274,0,5,0,34,5,5,20,69,5,23,0,56,5,0,219,115040320,5971280,5652860.82,AMITE COUNT,729.9999027156239,0.29,7452499.36,780.137143,159,58,10,542503.75,201251.92,468.297,247.36999999999998,115040.32,134.86555685814773,2878361.71,3374.3982532239156,4452628.1891,5219.9627070339975,11008595,12905,5652860,6627,Rural,83600,33981,1068117,259003.91686784,194411,1930.671138218054
2800450,4821,AMORY,11936013.296,7862.986361001317,8266379,2484282.136,2484282.136,2551967.4132000003,1518,19.73466969355038,8630797,5685.637022397892,5445.572463768116,9451731.16,6226.436864295125,0,119,121,111,103,131,123,87,123,117,122,117,108,99,0.2361,560,12,16,0,23,5,0,17,78,5,34,0,68,5,5,252,88724362,9216450,4662402.55,AMORY,76.92046654807238,0.20800000000000002,5228334.37,1410.86508,169,72,15,829830.47,355521.69,358.3998,315.744,88724.362,58.44819631093544,6967449.024,4589.887367588933,6899763.7468,4545.298910935441,12928781,8516,4662402,3071,Town,108000,42610,1104393,449311.50568,236621,1636.5494967061923
2800510,0400,ATTALA COUNTY,8484063.5627,8450.262512649402,5733622,1803698.5527000001,2935606.8279999997,1803698.5527000001,1004,1.7252578138630295,5643432,5620.948207171315,5710.778884462152,6680365.01,6653.750009960159,48,82,84,67,56,69,56,66,82,84,82,68,72,72,0.3617,336,0,12,0,5,5,5,11,45,5,27,0,67,0,0,180,104843101,6392598,5820060.4,ATTALA COUN,581.9420100187466,0.293,3534710.96,852.659218,117,60,5,724921.79,221821.22,363.14680000000004,294.17199999999997,104843.101,104.42539940239044,3744758.182,3729.838826693227,4876666.4573,4857.2375072709165,11553682,11507,5820060,5796,Rural,60600,34921,871786,292914.40494692,336354,1796.512502689243
2800540,5920,BALDWYN,6110035.2526,8082.057212433862,4177178,1298983.8726000001,2409164.94,1298983.8726000001,756,11.483745047638775,4166149,5510.7791005291,5525.367724867725,4811051.38,6363.824576719577,0,67,58,56,64,58,56,58,68,67,51,56,39,44,0.2834,306,5,5,0,13,5,0,5,38,0,13,5,20,0,0,111,86041605,4657269,4448889.35,BALDWYN,65.83218252093158,0.24600000000000002,2408297.18,688.707339,71,33,0,456930.63,176942.75,214.25039999999998,185.97600000000003,86041.605,113.81164682539682,2401886.44,3177.0984656084656,3512067.5073999995,4645.59194100529,8626067,11410,4448889,5884,Rural,101400,43036,473072,219832.36697524,264705,1718.2326357142858
2800570,2320,BAY ST. LOUIS,13567659.1867,8114.628700179425,9310149,2884462.9767,7071755.796,2884462.9767,1672,89.03631856390174,8998844,5382.0837320574165,5568.270933014354,10683196.209999999,6389.471417464114,58,113,142,109,125,114,117,115,142,131,112,153,133,90,0.2935,642,34,27,0,51,5,5,15,76,5,38,5,64,5,0,294,252562707,10380182,10323680.67,BAY ST. LOU,18.778853696651872,0.24600000000000002,8233825.93,1530.40499,191,95,10,999761.12,373286.09,490.73199999999997,411.31200000000007,252562.707,151.05425059808613,3611440.413999999,2159.952400717703,7798733.233299999,4664.314134748803,19633829,11742,10323680,6174,Suburb,168900,41778,1252592,507484.8150658,119480,1725.157282715311
2800600,0500,BENTON COUNTY,8096978.272,8425.57572528616,5822038,1478309.8120000002,1478309.8120000002,1787040.4842,961,2.3637321434465077,5252649,5465.81581685744,6058.312174817898,6618668.46,6887.272070759625,16,93,62,68,74,58,66,73,70,87,76,71,69,60,0.3462,310,21,17,0,14,5,0,5,42,5,45,0,66,0,0,199,52796779,6491176,2191816.51,BENTON COUN,406.5604483419963,0.293,5808895.95,806.11359,122,72,5,575744.2,220886.26,332.6982,281.573,52796.779,54.93941623309053,5140358.648,5348.9684162330905,4831627.9758,5027.708611654527,8013854,8339,2191816,2280,Rural,78000,36258,761898,268066.22562284,188397,1538.303654526535
2800630,2420,BILOXI,43699330.8511,7518.8112269614585,29865428,9290408.9211,17883311.824,9290408.9211,5812,302.4831359357475,29253636,5033.316586373021,5138.580178940124,34408921.93,5920.323800757054,120,459,485,441,447,419,361,430,405,464,493,409,403,405,0.3302,1122,533,121,0,99,32,11,22,183,5,165,5,161,5,5,810,638689708,33297919,36754607.75,BILOXI,19.214294317665917,0.26,29870477.84,5304.15,443,356,15,3226824.85,1316669.08,1919.1224,1511.1200000000001,638689.708,109.89155333792154,16525610.105999999,2843.360307295251,25118513.0089,4321.83637455265,66620035,11462,36754607,6323,City,159100,47342,3290688,1747548.769029,432143,1598.4874262044048
2800820,5921,BOONEVILLE,9895300.082,7490.7646343679035,7466023,1419364.2119999998,1419364.2119999998,2288502.6849,1321,191.98868213975783,7346069,5560.990915972748,5651.7963663891,8475935.870000001,6416.302702498108,39,100,98,99,93,90,113,98,99,102,86,115,84,82,0.1809,460,0,12,0,15,5,5,15,71,5,53,0,50,5,5,226,50691579,8324107,4253175.59,BOONEVILLE,6.880613926181233,0.22,2787017.86,1164.18436,136,90,15,710956.76,298956.11,238.96890000000002,290.62,50691.579,38.37364042392127,7056571.658000002,5341.840770628313,6187433.1851,4683.900972823619,11719198,8871,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,1074.4619318697955
2800840,4320,BROOKHAVEN,19628455.8154,7590.276804098995,13459833,4172978.7954,6022839.676,4172978.7954,2586,17.19387533487206,13659606,5282.136890951276,5204.885150812065,15455477.02,5976.595908739366,77,196,201,212,196,158,199,159,169,228,220,189,194,150,0.3909,558,29,26,0,38,5,5,18,134,5,61,0,104,5,0,399,215101417,15006797,12128797.01,BROOKHAVEN,150.4023932728626,0.28,7496815.42,2368.99435,276,115,10,1416898.65,578745.37,1010.8674000000001,724.08,215101.417,83.17920224284609,9432637.344,3647.5782459396755,11282498.224599998,4362.915013379737,25588630,9895,12128797,4690,Town,101900,39841,1607701,776720.86168052,280855,1613.680895359629
2800870,0700,CALHOUN COUNTY,16697802.464000002,8027.789646153847,12030592,2855222.244,2855222.244,3737496.6594000002,2080,3.546505165434119,12223903,5876.876442307693,5783.9384615384615,13842580.22,6655.08664423077,86,150,158,134,149,139,155,151,164,138,169,166,150,130,0.2712,798,134,19,0,47,5,5,14,131,5,33,5,118,5,0,382,101972223,13413291,4965747.48,CALHOUN COU,586.492871989203,0.324,7455794.86,1911.48889,296,81,10,1347776.47,464211.75,564.096,673.9200000000001,101972.223,49.02510721153846,10987357.976,5282.383642307692,10105083.560600001,4858.213250288462,16996339,8171,4965747,2387,Rural,70500,37263,1368363,637279.4525084,489806,1372.703001923077
2800900,4520,CANTON,23229606.0045,7337.209729785219,15874091,4938577.654500001,8080929.3040000005,4938577.654500001,3166,16.883714589148912,15486257,4891.426721415035,5013.926405559065,18291028.35,5777.3304958938725,94,231,245,237,260,182,252,240,253,259,252,258,167,168,0.4863,978,308,38,0,13,13,5,27,57,11,76,5,92,5,0,335,288604618,17698531,16544485.96,CANTON,187.51797676293188,0.312,11363603.64,2751.11876,162,164,16,1698647.97,718289.38,1539.6258,987.792,288604.618,91.15749147188882,10210099.046,3224.9207346809853,13352450.695500001,4217.451262002527,32418576,10239,16544485,5225,Rural,153400,41939,1661921,897744.97433396,393681,1559.8792338913458
2800930,0800,CARROLL COUNTY,6393351.157900001,7942.051127826088,4398452,1359216.3879000002,2510623.22,1359216.3879000002,805,1.281231936307605,4615780,5733.888198757764,5463.91552795031,5034134.7700000005,6253.583565217392,20,54,53,50,69,56,54,53,61,79,83,63,47,46,0.4275,178,33,5,0,5,5,5,5,37,5,18,0,52,0,0,137,89665115,4903974,2896775.33,CARROLL COU,628.3015410308437,0.221,3245091.3,738.583333,94,38,5,454766.41,180916.36,344.1375,177.905,89665.115,111.38523602484473,2523511.5500000003,3134.7969565217395,3674918.3821,4565.1160026086955,7295227,9062,2896775,3598,Rural,99000,46052,662293,248772.6821638,99740,1688.467562608696
2800200,0911,CHICKASAW COUNTY CONSOL,17072270.864,7711.052784101174,13120068,2218984.404,2218984.404,4010387.3442,2214,5.496836147575836,12877302,5816.306233062331,5925.956639566396,14853286.459999999,6708.801472448057,59,194,183,174,154,146,134,150,152,171,195,168,150,126,0.3313,838,46,23,0,28,12,5,25,109,5,72,5,77,0,5,362,79249443,14627983,4476040.07,CHICKASAW C,402.7771504479714,0.264,5634791.05,1955.66111,214,142,10,1240723.92,492494.54,733.4982,584.496,79249.443,35.79468970189702,12634302.055999998,5706.55016079494,10842899.115799999,4897.425074887082,17596108,7947,4476040,2021,NA,NA,NA,1520243,646341.7612634,378375,1002.2513116531165
2800990,1000,CHOCTAW COUNTY,10507691.6719,8542.838757642277,7042868,2233918.7019,7774436.208,2233918.7019,1230,2.941601509118056,6945544,5646.783739837399,5725.908943089431,8273772.970000001,6726.644691056911,65,91,105,89,96,83,92,103,88,95,99,86,65,62,0.2318,372,5,14,0,16,5,0,5,79,0,82,0,81,0,0,280,277658436,7852318,11067317.21,CHOCTAW COU,418.1395733539638,0.29600000000000004,4353851.68,1098.55556,176,106,0,961634.11,269270.86,285.11400000000003,364.08000000000004,277658.436,225.7385658536585,499336.76200000104,405.9648471544724,6039854.268100001,4910.450624471546,18110185,14723,11067317,8997,Rural,81400,36777,1236373,356057.88722324,239967,1816.194066585366
2801020,1100,CLAIBORNE COUNTY,9525090.4748,8017.752924915825,6623088,2025019.2348000002,2184837.452,2025019.2348000002,1188,2.437681092409674,6431257,5413.5159932659935,5574.989898989899,7500071.24,6313.19127946128,39,75,91,87,90,61,83,80,97,93,96,109,73,81,0.5606,588,0,5,0,5,5,5,15,30,11,59,0,44,0,5,179,78029909,7384292,5292737.7,CLAIBORNE C,487.34840816509313,0.39799999999999996,3868931.62,1017.72881,79,89,16,609582.31,267400.93,665.9928,472.82399999999996,78029.909,65.68174158249158,5315233.788000001,4474.102515151516,5475052.0052000005,4608.629634006735,11915825,10030,5292737,4455,Rural,67500,29338,835413,360442.7020964,371360,1704.5616454545457
2801050,1420,CLARKSDALE,15676519.162,7401.5671208687445,12061369,2017222.312,2017222.312,3688010.1495000003,2118,112.71631676836104,11613241,5483.116619452314,5694.6973559962225,13659296.85,6449.148654390935,75,173,167,153,179,121,110,183,110,167,190,164,149,133,0.5653,575,27,17,5,30,15,0,41,52,5,24,5,32,5,5,220,72043654,13447605,5040967.68,CLARKSDALE,18.79053592881872,0.516,14527676.69,1745.65093,114,102,20,1126703.84,471224.01,1197.3054,1092.888,72043.654,34.014945231350325,11642074.537999999,5496.730187913125,9971286.7005,4707.878517705382,17102336,8074,5040967,2380,Town,65400,30223,1470046,616231.62508296,213402,952.4184664778093
