dist_id,district,total_enroll,model_9_total_funding,model_9_pp_funding,model_9_diff_total,model_9_diff_pp,model_9_state_share,model_9_state_share_pp,model_9_state_total_diff,model_9_local_share_total,model_9_local_share_pp,model_9_local_mills_total,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,vocational_funding,conc_pov_funding,sparsity_funding,local_share_expected_total,maep_rev_fy24,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,maep_expected_local_total,maep_expected_local_pp,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,local_funding_28_mill,local_funding_27_pct,totalEnrollment,direct_cert_pct,vocational_enroll,assessed_value,stpov_rate,ada_addon_fy24,teacher_addon_fy24,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,sparsity_weight_adj,conc_pov_weight_adj,conc_pov_adm,sparsity_weighted_enroll,cte_pp_funding
4820,ABERDEEN,998,9023919.582553498,9042.003589732964,551364.517553499,552.469455732964,6587461.295264054,6600.662620505064,53466.27526405454,2436458.287289445,2441.3409692279006,3032312.136,6636700,295260,631750,56525,983535,0,836423.301,16591.750000000004,210805,46523.267,293341.26455349923,1938560.045,6533995.02,6547.089198,7179852.02,7194.240501,8472555.065,8489.534134,1550.1419354838708,1267.766137845794,0,49.900000000000006,419.2598,308.382,74,76,5,3032312.136,1938560.045,998,0.4201,317,108296862,0.309,232105.88,682414.14,108296.862,108.5138898,4147539.884,4155.851587,5241291.975,743263,304899.9236,56314,1942.444935,0.03359929364,0.0701,69.9598,1312.86892,177.64668769716087
200,ALCORN COUNTY,3188,26521956.93,8319.308949184442,1286474.8900000006,403.5366641844421,21705898.886,6808.625748431618,1286474.886,4816058.044,1510.683200752823,4816058.044,21200200,1552110,1330000,226100,3108210,38570,1211591.43,53000.5,910385,0,0,4816058.044,20419424,6405.089084,22479115,7051.165307,25235482.04,7915.772285,1302.8400702987701,487.8963783150066,29,159.4,607.314,599.344,389,160,20,4816058.044,6069361.05,3188,0.1905,1369,172002073,0.188,711043.38,1787412.62,172002.073,53.95297146,17663056.96,5540.482107,16409753.95,2366894,915285.1289,703630,1510.683201,0,0,0,3988.2642,513.9737034331629
2545,AMBITION PREP,480,4151709.41724,8649.394619249999,527040.91824,1098.001912249999,3404589.8681199998,7092.895558583333,527040.9181199996,747119.54912,1556.4990606666665,747119.54912,3192000,83790,124687.5,0,208477.5,0,538841.52,7980,0,67893.84000000001,136516.55724000005,747119.5492,2877548.95,5994.893646,3184415.95,6634.199896,3624668.499,7551.392707,4629.208333333334,1496.27050196967,0,24,270.096,192.48,21,15,0,747119.5492,859792.3065,395,0.5627,0,26682841.04,0.401,89289.47,118269.48,26682.84104,55.58925217,2437296.401,5077.700835,2324623.644,41826,134704.8425,0,1556.499061,0.034,0.2127,102.096,603.7884000000001,NA
300,AMITE COUNTY,853,8702024.898648238,10201.670455625132,789474.5976482378,925.5270786251313,6352478.176013214,7447.219432606346,252987.50601321366,2349546.722635024,2754.4510230187857,3221128.96,5672450,634410,482125,113050,1229585,0,934252.515,14181.125000000002,182210,112881.75500000003,556464.5036482379,1813059.631,6099490.67,7150.633845,6715035.67,7872.257526,7912550.301,9276.143377,711.3127753303961,1441.9238177908464,0,42.650000000000006,468.297,247.37,159,58,10,3221128.96,1813059.631,853,0.549,274,115040320,0.29,201251.92,542503.75,115040.32,134.8655569,3493906.71,4096.021934,4901976.039,1068117,259003.9169,194411,2125.509532,0.06831506694,0.19900000000000007,169.74700000000004,1224.8963,709.529197080292
4821,AMORY,1518,12665689.351,8343.668874176548,729676.050999999,480.6825131765481,10181407.215,6707.119377470356,729676.0549999997,2484282.136,1636.5494967061923,2484282.136,10094700,674310,598500,169575,1442385,15960,715007.601,25236.750000000004,372400,0,0,2484282.136,9451731.16,6226.436864,10401802.16,6852.307088,11936013.3,7862.986361,1320.28125,741.3399653124809,12,75.9,358.3998,315.744,169,72,15,2484282.136,2808486.583,1518,0.2361,560,88724362,0.208,355521.69,829830.47,88724.362,58.44819631,7917520.024,5215.757592,7593315.577,1104393,449311.5057,236621,1636.549497,0,0,0,1904.6149400000002,422.5375
400,ATTALA COUNTY,1004,9215216.788370246,9178.502777261201,553229.7053702455,551.0256032612015,6727108.25551028,6700.307027400677,46743.24551028013,2488108.5328599666,2478.1957498605243,2935606.8279999997,6676600,466830,498750,56525,1022105,0,724477.8659999999,16691.5,223440,7811.622000000029,544090.8003702454,1981622.073,6680365.01,6653.75001,7339341.01,7310.100608,8661987.083,8627.477174,825.9285714285706,1188.3994602182916,0,50.2,363.1468,294.172,117,60,5,2935606.828,1981622.073,1004,0.3617,336,104843101,0.293,221821.22,724921.79,104843.101,104.4253994,4403734.182,4386.189424,5357718.937,871786,292914.4049,336354,1973.727164,0.06274742186,0.011700000000000044,11.746800000000043,1303.92872,1001.0535714285714
5920,BALDWYN,756,6235140.548,8247.540407407409,-4519.274999999441,-5.977876592591201,4551652.60004,6020.704497407407,-259398.77995999996,1683487.9479600003,2226.8359100000002,2409164.94,5027400,283290,274312.5,0,557602.5,6650,427429.548,12568.500000000002,203490,0,0,1428608.443,4811051.38,6363.824577,5291142.38,6998.865582,6239659.823,8253.518284,812.7932692307695,968.9465270543253,5,37.800000000000004,214.2504,185.976,71,33,0,2409164.94,1428608.443,756,0.2834,306,86041605,0.246,176942.75,456930.63,86041.605,113.8116468,2881977.44,3812.139471,3862533.937,473072,219832.367,264705,1889.693707,0,0,0,937.61512,865.0490196078431
2320,BAY ST. LOUIS,1672,14262584.84,8530.254090909091,406016.7400000002,242.83298090909193,10411686.9332,6227.085486363636,-271509.27680000104,3850897.9068,2303.1686045454544,7071755.796,11118800,762090,789687.5,113050,1664827.5,45220,979010.3400000001,27797.000000000004,426930,0,0,3173371.887,10683196.21,6389.471417,11753229.21,7029.443307,13856568.1,8287.42111,1392.6875,960.8615800477655,34,83.60000000000001,490.732,411.312,191,95,10,7071755.796,3173371.887,1672,0.2935,642,252562707,0.246,373286.09,999761.12,252562.707,151.0542506,4681473.414,2799.924291,8579857.323,1252592,507484.8151,119480,1897.949693,0,0,0,2144.7495999999996,186.10591900311528
500,BENTON COUNTY,961,8922297.49979346,9284.388657433361,825319.2277934607,858.8129324333604,7443987.687793461,7746.085002906827,825319.2277934607,1478309.8120000002,1538.303654526535,1478309.8120000002,6390650,486780,598500,56525,1141805,27930,663732.909,15976.625000000002,206150,0,476052.96579346136,1478309.812,6618668.46,6887.272071,7287806.46,7583.565515,8096978.272,8425.575725,1909.0804020100504,1189.2660777846108,21,48.050000000000004,332.6982,281.573,122,72,5,1478309.812,1967707.744,961,0.3462,310,52796779,0.293,220886.26,575744.2,52796.779,54.93941623,5809496.648,6045.261861,5320098.716,761898,268066.2256,188397,1538.303655,0.05636267857,0,0,1270.11196,607.7322580645161
2420,BILOXI,5812,48926488.688,8418.184564349622,4300385.267999999,739.9148773496217,35716336.74224,6145.274731975223,1307414.812239997,13210151.94576,2272.909832374398,17883311.824,38649800,1767570,2959250,169575,4896395,708890,3828649.188,96624.50000000001,746130,0,0,10217181.49,34408921.93,5920.323801,37841412.93,6510.91069,44626103.42,7678.269687,1972.6130221130225,1084.4021303695897,533,290.6,1919.1224,1511.12,443,356,15,17883311.82,10217181.49,5812,0.3302,1122,638689708,0.26,1316669.08,3226824.85,638689.708,109.8915533,19958101.11,3433.947196,27624231.44,3290688,1747548.769,432143,1757.945886,0,0,0,7357.36672,385.15418894830657
