geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,ada_add_fy24,teacher_add_fy24,local_share_expected_pp,maep_expected_local_add_total,maep_expected_local_add_pp
2801200,4420,COLUMBUS,21202624.73,6861.6908511326865,16296779,4905845.73,6158857.2360000005,4905845.73,3090,46.88638155601814,16151073,5226.884466019417,5274.038511326861,18169799,5880.193851132686,95,255,260,250,248,212,191,221,186,250,265,248,193,172,0.5473,1104,45,69,0,61,33,5,31,91,5,109,5,98,5,5,506,219959187,13334111.09,COLUMBUS,65.90399807901962,0.32899999999999996,13193710.86,2717.00049,250,252,15,1691.157,1016.6099999999999,219959.187,71.18420291262136,12010941.763999999,3887.0361695792876,13263953.27,4292.541511326861,29630890,9589,13334111,4315,Town,127200,40362,2375056,939256.16621032,337991,694447.69,1675292.24,1587.6523398058255,23572364.66,7628.596977346278
2801220,1500,COPIAH COUNTY,15952347.732,7234.624821768708,12268733,3683614.732,3683614.732,3693276.54,2205,4.93409564785735,12820619,5814.339682539682,5564.051247165533,13678802,6203.538321995465,0,163,174,145,151,130,165,171,162,186,197,202,164,163,0.3936,556,103,24,0,24,5,5,21,86,12,58,5,108,0,5,350,131557669,4941811.16,COPIAH COUN,446.89040451770114,0.247,6866971.38,2136.74843,218,118,17,867.888,544.635,131557.669,59.66334195011338,9995187.268,4532.96474739229,9985525.46,4528.58297505669,17210544,7805,4941811,2241,Rural,99400,46493,1483727,671774.403562,137076,509557.71,1106346.32,1670.5735746031746,17568251.762000002,7967.461116553289
2801260,0220,CORINTH,15622119.228,6273.943465060241,12491659,3130460.228,3130460.228,3760384.2300000004,2490,81.66326476738158,12920052,5188.775903614458,5016.730522088354,13927349,5593.3128514056225,119,187,193,200,188,182,204,187,174,154,193,176,132,141,0.3242,965,231,35,0,32,5,0,18,98,5,33,5,89,5,5,318,111802151,6702195.74,CORINTH,30.4910660514588,0.27,5945567.09,2147.51111,219,96,15,807.2579999999999,672.3000000000001,111802.151,44.900462248995986,10796888.772,4336.0999084337345,10166964.77,4083.1183815261043,19193854,7708,6702195,2691,Town,123400,38646,1309748,731117.53393968,149433,548826.38,1041315.15,1257.2129429718875,17212260.758,6912.554521285141
2801290,1600,COVINGTON COUNTY,18931108,7256.078190877731,14550844,4380264,8160987.716,4380264,2609,6.305562967360604,14578892,5587.923342276735,5577.172863165964,16223200,6218.167880413952,0,241,209,188,195,178,177,208,192,226,229,216,179,103,0.3836,559,61,34,0,65,5,5,36,167,5,51,0,248,0,0,618,291463847,10299071.680000002,COVINGTON C,413.7616281852912,0.28600000000000003,11599438.1,2312.99991,480,131,5,1000.8124,746.1740000000001,291463.847,111.7147746262936,8062212.284,3090.154190877731,11842936,4539.262552702185,24849915,9524,10299071,3947,Rural,77100,38178,2930320,761519.45408596,323221,600717.12,1580427.38,1678.9053277117669,21112252.5,8092.086048294365
2801320,1700,DESOTO COUNTY,234332268.12,6694.633834814159,180112662,54219606.120000005,58630668.768,54219606.120000005,35003,73.49241433175584,181119369,5174.395594663315,5145.635002714053,200813356,5737.032711481873,5,2388,2584,2490,2574,2485,2564,2684,2736,2877,3092,2794,2597,2437,0.1765,7346,1567,749,5,794,292,66,161,598,110,1131,24,1347,13,5,5297,2093952456,121174285.74,DESOTO COUN,476.28044769343376,0.127,51394776.14,30014.9157,2739,2423,133,6178.0295,4445.381,2093952.456,59.82208542124961,142182687.232,4062.014319686884,146593749.88,4188.033879381767,301286947,8607,121174285,3461,Suburb,168500,67038,25877680,10076320.6892928,1562060,8036987.35,16978282.19,1548.9988321001058,259347537.66,7409.294565037282
2801410,6811,E. TALLAHATCHIE,6141383.13,7199.745756154748,4720395,1420988.1300000001,1551309.0599999998,1420988.1300000001,853,2.320099544837993,4785661,5610.388042203986,5533.874560375147,5262919,6169.893317702227,20,59,60,50,72,40,57,79,55,79,94,70,51,60,0.4033,320,0,5,0,5,5,0,5,24,0,16,5,41,5,0,107,55403895,2587029.16,E. TALLAHAT,367.65663865494315,0.431,4882824.79,770.616667,70,36,5,344.0149,367.643,55403.895,64.95181125439625,3711609.9400000004,4351.242602579133,3841930.87,4504.022121922626,7307424,8566,2587029,3032,Town,65600,31982,647247,264558.55273288,59279,195642.11,566081.98,1665.8711957796015,6903107.220000001,8092.740000000001
2801380,3111,EAST JASPER,5637418.07,7466.7789006622525,4333037,1304381.07,2451217.468,1304381.07,755,2.2854885570485277,3672371,4864.067549668875,5739.121854304636,4831041,6398.729801324504,5,59,47,55,65,39,58,50,59,56,62,64,54,64,0.3718,212,5,5,0,5,5,5,25,5,5,20,0,48,0,0,116,87543481,5808166.72,EAST JASPER,330.34512365925144,0.297,3508970.12,682.879915,58,60,5,280.709,224.23499999999999,87543.481,115.95163046357617,2379823.532,3152.084148344371,3526659.9299999997,4671.072754966887,10141203,13432,5808166,7692,Rural,75100,31824,639301,230940.74366248,43920,171800.42,489891.43,1727.657046357616,6299109.92,8343.191947019868
2801440,1211,ENTERPRISE,6603157.07,6914.300596858639,5075324,1527833.07,1784787.256,1527833.07,955,5.296080283810711,4969352,5203.509947643979,5314.475392670157,5658641,5925.278534031414,54,75,53,69,63,71,66,64,62,69,76,72,75,69,0.125,291,0,17,0,5,5,0,5,37,5,53,0,37,0,0,164,63742402,3690708.5,ENTERPRISE,180.32203985262188,0.145,1824087.87,798.201117,79,80,5,119.375,138.475,63742.402,66.74597068062828,3873853.744,4056.3913549738218,4130807.9299999997,4325.4533298429315,8766032,9179,3690708,3864,Rural,109200,62896,680199,272743.71950468,123212,208497.93,571244.96,1599.8252041884818,7382899.96,7730.7852984293195
2801470,6220,FOREST SEPARATE,10959134.530000001,6662.0878601823715,8423419,2535715.5300000003,2666880.104,2535715.5300000003,1645,18.332709151893855,8395131,5103.423100303951,5120.619452887538,9391539,5709.142249240122,0,152,125,162,149,107,110,125,97,130,146,123,99,92,0.265,182,510,16,0,37,5,5,12,71,5,16,5,80,0,5,243,95245718,5753213.69,FOREST SEPA,89.73032770936987,0.282,4835253.22,1487.47486,188,59,10,435.925,463.88999999999993,95245.718,57.90013252279635,6724658.896,4087.9385386018234,6855823.47,4167.673841945289,14176632,8618,5753213,3497,Town,71100,31197,1013349,483513.77772492,26415,378194.67,798644.85,1541.468407294833,12135974.05,7377.491823708207
2801510,1802,FORREST AHS,4352471.11,7123.520638297873,3345400,1007071.1100000001,20963441.968000002,1007071.1100000001,611,Inf,3286429,5378.770867430442,5475.2864157119475,3729893,6104.571194762684,0,0,0,0,0,0,0,0,0,0,169,171,5,135,0.2814,480,11,5,0,0,5,0,5,0,5,32,5,48,5,5,113,748694356,2377849.11,FORREST AHS,0,0,1634607.82,525.039106,48,52,15,171.9354,0,748694.356,1225.3590114566284,-17233548.968000002,-28205.481126022918,2722821.8899999997,4456.3369721767585,5723249,9367,2377849,3891,NA,NA,NA,431797,175397.96518344,303964,137674.08,319167.24,1648.234222585925,4809312.430000001,7871.21510638298
