dist_id,district,total_enroll,geoid,local_diff_pp,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,totalEnrollment,assessed_value,local_revenue,sq_miles,stpov_rate,federal_revenue,total_ada,ada_addon_fy24,teacher_addon_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,direct_cert_pct,ell_enroll,vocational_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,sped_enroll,sparsity_multiplier,students_sq_mile,matt_wsf_pp,matt_wsf_total
5921,BOONEVILLE,1321,2800820,2144.5380681302045,9895300.082,7490.764634367904,8475935.870000001,1419364.2119999998,1419364.2119999998,2520185.3649,191.98868213975783,7346069,5560.990915972748,6416.302702498108,9334019.87,7065.874239212717,39,100,98,99,93,90,113,98,99,102,86,115,84,82,1321,50691579,4253175.59,6.880613926181233,0.22,2787017.86,1164.18436,298956.11,710956.76,238.9689,290.62,50691.579,38.37364042392127,7914655.658,5991.412307342922,6813834.505099999,5158.088194625283,11719198,8871,4253175,3219,Town,96200,32016,795434,373889.82572456,116419,1074.4619318697955,0.18,0,435,134,92,6,232,0,182.741,8262,10913890
4320,BROOKHAVEN,2586,2800840,2914.803141763341,20046136.0954,7751.792766976024,15455477.02,4590659.0754,6022839.676,4590659.0754,17.19387533487206,13659606,5282.136890951276,5976.595908739366,17002441.02,6574.803178654292,77,196,201,212,196,158,199,159,169,228,220,189,194,150,2586,215101417,12128797.01,150.4023932728626,0.28,7496815.42,2368.99435,578745.37,1416898.65,1010.8674,724.08,215101.417,83.17920224284609,10979601.344,4245.785515854602,12411781.9446,4799.6063204176335,25588630,9895,12128797,4690,Town,101900,39841,1607701,776720.86168052,280855,1775.1968582366592,0.39,19,462,290,132,8,430,0,15.137,8513,22013635
0700,CALHOUN COUNTY,2080,2800870,1014.296998076923,16697802.464000002,8027.789646153847,13842580.22,2855222.244,2855222.244,4110825.3894000007,3.546505165434119,12223903,5876.876442307693,6655.08664423077,15225279.22,7319.845778846154,86,150,158,134,149,139,155,151,164,138,169,166,150,130,2080,101972223,4965747.48,586.492871989203,0.324,7455794.86,1911.48889,464211.75,1347776.47,564.096,673.9200000000001,101972.223,49.02510721153846,12370056.976,5947.142776923077,11114453.8306,5343.487418557693,16996339,8171,4965747,2387,Rural,70500,37263,1368363,637279.4525084,489806,1372.703001923077,0.27,122,794,292,100,7,399,0.046,3.383,8925,18563716
4520,CANTON,3166,2800900,3509.5304944725203,23722204.8045,7492.800001421353,18291028.35,5431176.4545,8080929.304,5431176.4545,16.883714589148912,15486257,4891.426721415035,5777.3304958938725,20115468.35,6353.590761212886,94,231,245,237,260,182,252,240,253,259,252,258,167,168,3166,288604618,16544485.96,187.51797676293188,0.312,11363603.64,2751.11876,718289.38,1698647.97,1539.6258,987.792,288604.618,91.15749147188882,12034539.045999996,3801.180999999998,14684291.895499997,4638.121255685406,32418576,10239,16544485,5225,Rural,153400,41939,1661921,897744.97433396,393681,1715.4695055274794,0.49,311,960,162,181,13,356,0,15.166,8798,27853465
0800,CARROLL COUNTY,805,2800930,1739.9784746583848,6529842.0979,8111.605090559006,5034134.7700000005,1495707.3279,2510623.22,1495707.3279,1.281231936307605,4615780,5733.888198757764,6253.583565217392,5539656.7700000005,6881.561204968944,20,54,53,50,69,56,54,53,61,79,83,63,47,46,805,89665115,2896775.33,628.3015410308437,0.221,3245091.3,738.583333,180916.36,454766.41,344.1375,177.905,89665.115,111.38523602484472,3029033.5500000003,3762.774596273293,4043949.4421000006,5023.53967962733,7295227,9062,2896775,3598,Rural,99000,46052,662293,248772.6821638,99740,1858.0215253416152,0.43,26,285,116,41,5,162,0.069,1.148,9505,7651339
0911,CHICKASAW COUNTY CONSOL,2214,2800200,1018.7486883468836,17072270.864,7711.052784101174,14853286.46,2218984.404,2218984.404,4417524.3942,5.496836147575836,12877302,5816.306233062331,6708.801472448057,16361201.46,7389.883224932249,59,194,183,174,154,146,134,150,152,171,195,168,150,126,2214,79249443,4476040.07,402.7771504479714,0.264,5634791.05,1955.66111,492494.54,1240723.92,733.4982,584.496,79249.443,35.79468970189702,14142217.055999998,6387.631913279132,11943677.0658,5394.614754200542,17596108,7947,4476040,2021,NA,NA,NA,1520243,646341.7612634,378375,1002.2513116531164,0.33,60,731,222,153,14,389,0.029,5.141,8866,19629620
1000,CHOCTAW COUNTY,1230,2800990,7003.121787073171,10726243.1719,8720.52290398374,8273772.970000001,2452470.2019,7774436.208,2452470.2019,2.941601509118056,6945544,5646.783739837399,6726.644691056911,9083222.97,7384.73412195122,65,91,105,89,96,83,92,103,88,95,99,86,65,62,1230,277658436,11067317.21,418.1395733539638,0.29600000000000004,4353851.68,1098.55556,269270.86,961634.11,285.11400000000003,364.08,277658.436,225.7385658536585,1308786.762000001,1064.0542780487813,6630752.768100001,5390.855909024391,18110185,14723,11067317,8997,Rural,81400,36777,1236373,356057.88722324,239967,1993.8782129268295,0.23,5,366,158,105,0,263,0.052,2.845,8992,11059798
1100,CLAIBORNE COUNTY,1188,2801020,2615.9112356902356,9684908.692,8152.280043771044,7500071.24,2184837.452,2184837.452,2230544.3148000003,2.437681092409674,6431257,5413.5159932659935,6313.19127946128,8261275.24,6953.935387205387,39,75,91,87,90,61,83,80,97,93,96,109,73,81,1188,78029909,5292737.7,487.34840816509313,0.398,3868931.62,1017.72881,267400.93,609582.31,665.9928,472.824,78029.909,65.68174158249158,6076437.788000001,5114.846622895623,6030730.9252,5076.372832659933,11915825,10030,5292737,4455,Rural,67500,29338,835413,360442.7020964,371360,1839.0887643097644,0.56,8,541,73,92,15,180,0.057,2.268,9784,11623978
1420,CLARKSDALE,2118,2801050,1427.5815335221907,15676519.162,7401.567120868744,13659296.85,2017222.312,2017222.312,4062293.8695,112.71631676836104,11613241,5483.116619452314,6449.148654390935,15045532.85,7103.651015108593,75,173,167,153,179,121,110,183,110,167,190,164,149,133,2118,72043654,5040967.68,18.79053592881872,0.516,14527676.69,1745.65093,471224.01,1126703.84,1197.3054,1092.888,72043.654,34.014945231350325,13028310.538,6151.232548630783,10983238.9805,5185.665241029273,17102336,8074,5040967,2380,Town,65400,30223,1470046,616231.62508296,213402,952.4184664778091,0.57,14,577,125,102,7,234,0,256.233,8810,18659029
1425,CLARKSDALE COLLEGIATE,675,.,NA,4477099.7663701605,7461.832943950268,3990413.93,486685.83637016045,486685.83637016045,1194037.9911000002,Inf,3152814,5254.69,6650.6898833333335,4422362.930000001,7370.604883333334,0,69,73,78,76,5,70,75,0,0,0,0,0,0,511,17381637.013220016,396211,0,0.516,1251932,416.883333,118507.23,113604.7,312.48,309.6,17381.637013220017,28.96939502203336,3935677.09362984,6559.4618227164,3228324.9389000004,5380.541564833334,NA,NA,NA,NA,NA,NA,NA,68371,187836.37553092,0,811.1430606169341,0.52,0,0,27,23,0,50,0.07,1.025,8836,5964358
