geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,local_share_expected_pp
2804590,3112,WEST JASPER,10257209.59,7269.461084,7883905,2373304.59,3243860.676,2373304.59,1411,4.079538322,7552672,5352.708717,5587.459249,8790017,6229.636428,40,118,104,97,96,111,96,102,98,121,117,91,96,102,0.3182,383,15,15,0,24,5,0,17,57,5,39,0,141,5,5,304,115852167,5335260.85,WEST JASPER,345.872471,0.241,3560080.1,1234.84358,222,76,15,448.9802,340.051,115852.167,82.10642594,5546156.324,3930.656502,6416712.41,4547.634592,13219165,9368,5335260,3781,Rural,83900,39537,1301474,385583.5604,1682.001836
2804560,7800,WEBSTER COUNTY,12218692.93,7026.275404,10043683,2175009.928,2175009.928,3023466.21,1739,4.129660877,10287189,5915.577343,5775.550891,11198023,6439.346176,40,132,149,117,113,121,125,123,112,132,147,139,142,92,0.2219,669,11,20,0,58,5,5,17,118,5,33,5,68,0,5,336,77678926,4015421.15,WEBSTER COU,421.0999527,0.239,4977047.02,1492.00559,244,85,10,385.8841,415.621,77678.926,44.6687326,9023013.072,5188.621663,8174556.79,4700.722708,14059104,8084,4015421,2309,Rural,84000,45730,1355347,513915.6979,1250.724513
2804530,7700,WAYNE COUNTY,22734832.61,7839.597452,18124629,4610203.612,4610203.612,5456086.29,2900,3.577575109,17353589,5983.996207,6249.872069,20207727,6968.181724,0,263,241,232,215,208,199,243,215,203,252,235,181,162,0.435,955,62,22,0,54,29,5,5,237,18,97,0,163,0,5,638,164650129,7796670.5,WAYNE COUNT,810.6049243,0.317,16482650.55,2654.66192,454,158,23,1261.5,919.3,164650.129,56.77590655,15597523.39,5378.456341,14751640.71,5086.772659,25921299,8938,7796670,2688,Town,85800,37706,2674018,833432.5661,1589.725383
2804500,8113,WATER VALLEY,7532132.892,7235.478282,6101798,1430334.892,1430334.892,1836834.03,1041,7.95318853,5998354,5762.107589,5861.477426,6803089,6535.147935,20,78,109,83,73,74,79,73,67,78,74,82,62,64,0.3063,361,12,16,0,18,5,0,5,43,5,25,5,41,0,0,164,51083389,2699399.25,WATER VALLE,130.8908994,0.324,3223381.18,947.589888,102,56,5,318.8583,337.284,51083.389,49.07145917,5372754.108,5161.147078,4966254.97,4770.657992,8801197,8454,2699399,2593,Town,87000,42193,604291,312500.6274,1374.000857
2804470,7500,VICKSBURG WARREN,47190207.05,6877.033962,36271376,10918831.05,17506014.26,10918831.05,6862,11.66108155,34724195,5060.360682,5285.831536,40440115,5893.34232,287,507,580,531,445,440,436,524,491,508,574,535,479,416,0.4498,2621,76,92,0,117,20,5,36,92,13,105,5,419,5,5,909,625214795,39766946.61,VICKSBURG W,588.4531352,0.334,19995701.65,5866.89831,628,263,23,3086.5276,2291.908,625214.795,91.1126195,22934100.74,3342.188974,29521283.95,4302.139894,76038322,11081,39766946,5795,Rural,128400,45113,4286225,2033155.149,1591.202426
2804440,7400,WALTHALL COUNTY,12743842.74,7567.602577,9795183,2948659.74,3148167.764,2948659.74,1684,4.16963048,9421614,5594.78266,5816.616983,10920962,6485.131829,17,133,140,116,128,129,116,155,125,140,119,136,111,89,0.3329,630,21,18,0,32,5,0,21,72,5,47,5,54,0,5,263,112434563,5651277.33,WALTHALL CO,403.8727192,0.332,5317377.92,1552.78977,158,96,10,560.6036,559.088,112434.563,66.76636758,7772794.236,4615.673537,7972302.26,4734.146235,15446460,9172,5651277,3355,Rural,95800,30961,1189013,493745.0124,1750.985594
2804380,5131,UNION CITY,7018389.96,7571.078706,6317744,700645.96,700645.96,1901840.58,927,13.04866411,5986271,6457.681769,6815.257821,7043854,7598.548004,20,72,84,53,58,68,68,73,66,67,74,69,77,65,0.2376,311,0,17,0,5,0,0,5,57,5,48,5,93,5,0,237,25023070,1613482.72,UNION CITY,71.04175507,0.274,3247612.47,811.234637,155,75,10,220.2552,253.998,25023.07,26.99360302,6343208.04,6842.72712,5142013.42,5546.940043,7931226,8555,1613482,1740,Rural,80900,39848,821488,272451.9355,755.8208846
2804350,7300,UNION COUNTY,20170014.48,6768.461235,17294844,2875170.48,2875170.48,5206294.98,2980,8.79682018,17216159,5777.234564,5803.638926,19282574,6470.662416,79,281,272,221,227,207,215,195,205,252,213,235,188,147,0.1726,806,27,30,0,51,17,5,14,93,11,76,0,195,5,5,499,102684660,7657298.54,UNION COUNT,338.7587718,0.189,6419076.1,2696.8,339,142,21,514.348,563.22,102684.66,34.4579396,16407403.52,5505.840107,14076279.02,4723.583564,24952142,8373,7657298,2569,Rural,98100,46559,1924952,865588.7702,964.8223087
2804320,4120,TUPELO,46401837.78,6506.146632,35665419,10736418.78,17528234,10736418.78,7132,98.67409918,35179805,4932.670359,5000.759815,39764514,5575.50673,277,573,590,532,493,447,517,545,499,566,546,534,462,435,0.2939,1361,390,106,0,100,41,5,33,328,39,213,5,220,5,5,1101,626008357,40188126.97,TUPELO,72.27833909,0.214,17584101.65,6037.34831,648,403,49,2096.0948,1526.248,626008.357,87.77458735,22236280,3117.818284,29028095.22,4070.119913,75853545,10635,40188126,5634,Town,149500,51258,4478089,2090451.317,1505.386817
2804290,7200,TUNICA COUNTY,11376618.62,6808.269671,8744306,2632312.62,5357212.644,2632312.62,1671,3.680067673,8664842,5185.4231,5232.977858,9749306,5834.414123,55,136,138,130,148,90,158,121,105,122,124,112,99,100,0.5925,526,25,28,0,14,5,5,23,34,5,28,5,31,0,5,177,191329023,14461914.11,TUNICA COUN,454.0677369,0.418,6049221.15,1462.53893,79,94,10,990.0675,698.478,191329.023,114.4997145,4392093.356,2628.422116,7116993.38,4259.12231,23206220,13887,14461914,8654,Rural,107100,39370,1099381,487314.1296,1575.291813
