geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,local_share_expected_pp
2803600,5020,PHILADELPHIA,5923781.61,7145.695549,4553142,1370639.61,1720536.524,1370639.61,829,130.9238975,4337170,5231.809409,5492.330519,5076443,6123.574186,42,75,50,73,51,57,52,56,58,77,71,62,46,59,0.5054,61,11,20,0,20,5,5,5,22,5,50,0,67,5,0,195,61447733,3480176.95,PHILADELPHI,6.33192271,0.324,2932252.84,715.505196,109,85,10,418.9766,268.596,61447.733,74.12271773,3355906.476,4048.138089,3705803.39,4470.209156,8033318,9690,3480176,4198,Town,90100,31753,797542,241464.6574,1653.36503
2803570,5600,PERRY COUNTY,7261123.84,7782.555027,5581051,1680072.84,2967449.156,1680072.84,933,1.781355311,5497981,5892.798499,5981.833869,6222492,6669.337621,0,80,83,57,66,72,73,71,67,77,70,91,61,5,0.3792,452,0,22,0,5,5,5,0,59,5,33,5,56,0,0,186,105980327,4166449.57,PERRY COUNT,523.7585081,0.277,4325843.59,876.65,120,70,5,353.7936,258.441,105980.327,113.5909185,3255042.844,3488.791901,4542419.16,4868.616463,9747500,10447,4166449,4465,Rural,85800,46063,736061,278590.1393,1800.721158
2803540,5500,PEARL RIVER COUNTY,22343690.48,6803.803436,18465052,3878638.484,3878638.484,5558564.52,3284,24.66838722,18704227,5695.562424,5622.732034,20587276,6268.963459,0,256,262,228,247,207,265,261,236,263,275,273,232,218,0.2133,921,43,65,0,70,14,5,5,146,13,96,5,95,5,0,515,138522803,8511724.03,PEARL RIVER,133.1258493,0.154,5974656.55,2896.71186,311,190,18,700.4772,505.736,138522.803,42.1811215,16708637.52,5087.892057,15028711.48,4576.343325,26976776,8214,8511724,2591,Rural,156400,63540,2106212,974628.2592,1181.071402
2803530,1821,PETAL,31473818.72,7166.170018,25101187,6372631.72,6372631.72,7556251.05,4392,46.87487841,24877657,5664.311703,5715.206512,27986115,6372.066257,57,343,364,314,306,322,321,303,355,383,385,322,293,264,0.1966,1169,135,131,0,41,53,5,14,232,21,162,5,229,5,5,898,227593990,13747527.52,PETAL,93.69624305,0.16,8976629.82,3949.07303,502,370,31,863.4672,702.72,227593.99,51.82012523,21613483.28,4921.10275,20429863.95,4651.608367,38848714,8845,13747527,3130,Suburb,150300,55825,3319103,1246494.837,1450.963506
2803520,6120,PEARL,29028414.49,6885.297555,22311844,6716570.49,6761811.672,6716570.49,4216,164.8081033,21413125,5079.014469,5292.183112,24876187,5900.423861,5,343,315,302,284,300,285,316,326,359,375,349,254,284,0.2454,1193,185,134,0,46,19,5,43,216,5,56,0,175,5,0,707,241493274,15918153.37,PEARL,25.58126643,0.202,8569410.22,3639.4581,437,257,10,1034.6064,851.632,241493.274,57.28018833,18114375.33,4296.578588,18159616.51,4307.309419,38229997,9067,15918153,3775,Suburb,120700,49944,2972443,1190074.916,1593.114443
2803510,2423,PASS CHRISTIAN,12873287.57,6622.061507,9894677,2978610.57,6409989.712,2978610.57,1944,33.32405716,9716282,4998.087449,5089.854424,11031891,5674.841049,53,124,126,152,126,130,125,126,145,171,157,172,148,154,0.2733,661,21,38,0,21,18,5,14,52,11,78,5,64,0,5,304,228928204,12821808.87,PASS CHRIST,58.33623411,0.185,5104203.89,1797.82778,137,158,16,531.2952,359.64,228928.204,117.7614218,4621901.288,2377.521239,8053280.43,4142.633966,22716485,11685,12821808,6595,Suburb,170700,54279,1145622,578229.0011,1532.207083
2803480,3022,PASCAGOULA,44441656.86,6769.483147,34158783,10282873.86,28618271.81,10282873.86,6565,91.97136281,33383043,5085.002742,5203.165727,38084718,5801.175628,97,464,522,446,483,449,459,482,502,466,572,559,456,468,0.3562,1814,608,77,0,62,54,5,55,204,45,186,5,193,5,5,894,1022081136,52236402.87,PASCAGOULA,71.38091466,0.259,23446694.79,5947.53333,459,382,55,2338.453,1700.335,1022081.136,155.6863878,9466446.192,1441.95677,27801844.14,4234.858209,86395185,13159,52236402,7956,City,120700,44005,4298928,1924408.339,1566.31742
2803450,3620,OXFORD,29561284.45,6202.535554,22721419,6839865.45,17257134.83,6839865.45,4766,55.33864405,22805461,4785.031683,4767.398028,25332835,5315.324171,213,339,403,398,329,355,337,334,333,361,339,357,318,297,0.1731,1349,376,73,0,92,12,5,28,214,14,68,5,156,5,5,671,616326244,38762587.56,OXFORD,86.12426419,0.153,9080889.16,4136.77778,462,191,24,824.9946,729.198,616326.244,129.3172984,8075700.168,1694.439817,18492969.55,3880.186645,61484006,12900,38762587,8133,Rural,241700,48668,2226845,1382428.573,1435.137526
2803390,921,OKOLONA,4211748.216,8242.16872,3425341,786407.216,786407.216,1031135.94,511,4.376051144,3344631,6545.266145,6703.21135,3819022,7473.624266,0,37,32,35,40,32,53,42,40,41,43,5,44,39,0.426,226,0,5,0,0,5,0,5,19,5,26,0,34,0,0,88,28085972,1788241.29,OKOLONA,116.7719442,0.315,2487390.65,485.8915,53,41,5,217.686,160.965,28085.972,54.96276321,3032614.784,5934.666896,2787886.06,5455.745714,5213582,10202,1788241,3499,Rural,73300,34412,423757,152304.0698,1538.95737
2803360,3021,OCEAN SPRINGS,40995503.81,6994.626141,31509998,9485505.81,9555952.056,9485505.81,5861,171.819723,32652796,5571.198772,5376.215322,35131503,5994.114144,0,363,436,402,411,429,420,470,484,466,499,498,459,417,0.1196,1864,106,131,0,73,36,11,29,238,46,166,5,238,5,5,975,341284002,22054499.37,OCEAN SPRIN,34.11133425,0.111,10502145.76,5350.99441,549,378,56,700.9756,650.571,341284.002,58.22965398,25575550.94,4363.683833,25645997.19,4375.703325,53564497,9139,22054499,3762,Suburb,169400,69055,3772239,1726500.942,1618.410819
2803300,5200,NOXUBEE COUNTY,10197687.56,7299.70477,7948478,2249209.564,2249209.564,2392743.24,1397,2.009890142,7611610,5448.539728,5689.67645,8862012,6343.602004,59,115,103,86,113,88,103,92,96,112,120,111,90,88,0.5584,436,27,20,5,12,5,5,18,16,5,33,5,55,0,5,169,80328913,4230854.86,NOXUBEE COU,695.0628646,0.39,6357876.46,1222.77222,83,86,15,780.0848,544.83,80328.913,57.50101145,6612802.436,4733.573684,6469268.76,4630.829463,12179332,8718,4230854,3028,Rural,59700,33784,1008651,406631.3879,1610.028321
2803270,7011,N. TIPPAH,9046175.884,7034.351387,7713499,1332676.884,1332676.884,2322007.02,1286,6.591795771,7718495,6001.940124,5998.05521,8600026,6687.423017,40,94,113,103,103,77,72,110,92,89,101,97,94,83,0.1774,389,0,27,0,19,5,5,5,67,5,23,0,155,0,0,306,47595603,3285728.73,N. TIPPAH,195.0909956,0.257,4015698.98,1149.93333,241,65,5,228.1364,330.502,47595.603,37.01057776,7267349.116,5651.12684,6278018.98,4881.818802,10999227,8553,3285728,2554,Rural,81900,36925,895049,378274.6406,1036.296177
2803240,5711,NORTH PIKE,16069715.22,7158.002325,13701157,2368558.22,2368558.22,4124481.39,2245,17.84537012,13545933,6033.823163,6102.965256,15275857,6804.390646,0,142,162,166,145,181,195,189,166,185,193,196,146,148,0.3206,628,0,29,0,30,5,5,5,137,5,65,5,115,5,0,400,84591365,5573192.04,NORTH PIKE,125.8029385,0.265,10739904.63,2039.74444,282,114,10,719.747,594.925,84591.365,37.67989532,12907298.78,5749.353577,11151375.61,4967.205171,19274349,8585,5573192,2482,Town,115600,41738,1752940,648680.5082,1055.037069
2803210,5411,NORTH PANOLA,8332233.3,6835.302133,6404328,1927905.3,2455136.796,1927905.3,1219,4.086010916,6466593,5304.83429,5253.755537,7140390,5857.579984,19,79,86,77,129,71,98,98,83,98,126,87,81,80,0.4959,468,5,14,0,5,16,5,17,21,5,24,0,64,0,0,170,87683457,4670309.41,NORTH PANOL,298.3349837,0.409,3902052.18,1058.11111,90,76,5,604.5021,498.571,87683.457,71.93064561,4685253.204,3843.521906,5212484.7,4276.033388,11074637,9085,4670309,3831,Rural,70900,34544,897728,366289.1219,1581.546596
2803180,5130,NEWTON MUNICIPAL,6035829.28,7396.849608,4639264,1396565.28,2037048.356,1396565.28,816,5.953516099,4758267,5831.209559,5685.372549,5172464,6338.803922,21,52,61,53,68,49,85,54,61,64,70,58,41,79,0.4175,247,0,5,0,5,5,5,5,32,5,35,5,32,5,5,131,72751727,3547304.45,NEWTON MUNI,137.0618617,0.347,5411990.16,781.055556,69,60,15,340.68,283.152,72751.727,89.15652819,3135415.644,3842.421132,3775898.72,4627.326863,8186568,10032,3547304,4347,Town,83400,32047,649367,245849.4722,1711.477059
2803150,5100,NEWTON COUNTY,12237084.38,7249.457571,10174574,2062510.38,2062510.38,3062868.39,1688,4.169815705,10087533,5976.026659,6027.591232,11343957,6720.353673,20,143,148,110,103,107,116,118,126,147,145,132,114,129,0.1954,515,0,12,0,11,5,5,22,62,5,78,5,39,5,0,239,73661085,4501917.6,NEWTON COUN,404.814054,0.235,5342700.56,1518.53889,112,127,10,329.8352,396.68,73661.085,43.63808353,9281446.62,5498.487334,8281088.61,4905.858181,14676491,8694,4501917,2667,Rural,88600,36958,1271315,497838.0433,1221.866339
2803120,7320,NEW ALBANY,15003579.97,7097.246912,11997472,3006107.972,3006107.972,3611618.28,2114,27.52913491,12210763,5776.141438,5675.246925,13376364,6327.513718,39,194,183,156,163,159,144,146,154,171,164,150,140,120,0.2201,759,190,34,0,39,16,5,22,107,5,41,5,109,0,0,378,107360999,8088117.23,NEW ALBANY,76.79137057,0.225,4842368.61,1924.71508,255,123,5,465.2914,475.65,107360.999,50.78571381,10370256.03,4905.513731,9764745.72,4619.085014,20085589,9501,8088117,3825,Rural,106800,45216,1685398,617693.23,1421.999987
2803090,4111,NETTLETON,7882972.868,7089.004378,6627928,1255044.868,1255044.868,1995215.76,1112,11.34266817,6901220,6206.133094,5960.366906,7389688,6645.402878,0,80,90,66,80,83,85,84,92,105,100,77,80,78,0.2651,411,11,12,0,12,12,5,5,71,5,24,0,44,0,0,190,44823031,2491966.27,NETTLETON,98.0368978,0.222,2793832.13,1060.01667,127,58,5,294.7912,246.864,44823.031,40.30848112,6134643.132,5516.765406,5394472.24,4851.144101,9119894,8201,2491966,2240,Rural,89200,39620,736190,339687.5537,1128.637471
2803060,5000,NESHOBA COUNTY,23612158.24,7772.270652,20113521,3498637.24,3498637.24,6054805.89,3038,5.748375347,19744138,6499.057933,6620.64549,22425207,7381.569124,40,239,250,220,187,216,208,204,241,249,262,249,222,204,0.2827,1280,5,42,0,110,5,5,13,114,11,72,5,169,5,5,547,124951330,5845157.82,NESHOBA COU,528.4971521,0.281,15123730.02,2718.44134,393,142,21,858.8426,853.678,124951.33,41.12947005,18926569.76,6229.943963,16370401.11,5388.545461,25958678,8544,5845157,1924,Town,83300,40115,2625575,903592.2892,1151.625161
2803030,130,NATCHEZ-ADAMS,20137211.41,7085.577555,15477880,4659331.41,8975601.04,4659331.41,2842,6.147788994,14958555,5263.390218,5446.122449,17256783,6072.055947,5,211,254,207,246,181,189,214,188,192,213,206,200,210,0.4718,884,13,39,0,61,25,5,56,140,5,58,5,116,5,5,503,320557180,14761348.69,NATCHEZ-ADA,462.2800169,0.355,11681465.56,2595.44725,317,188,15,1340.8556,1008.91,320557.18,112.7928149,8281181.96,2913.857129,12597451.59,4432.600841,30239228,10640,14761348,5194,Town,92100,29936,2264097,827001.6833,1639.455106
2803000,3020,MOSS POINT,13549501.33,8635.756106,10414429,3135072.33,4780407.772,3135072.33,1569,15.13929964,10544373,6720.441683,6637.622052,11611379,7400.496495,21,128,127,118,107,109,114,129,121,128,110,134,103,94,0.532,640,70,26,0,16,11,5,24,48,5,46,0,64,0,0,240,170728849,9817268.92,MOSS POINT,103.6375551,0.297,10835532.81,1360.7095,128,112,5,834.708,465.993,170728.849,108.813798,6830971.228,4353.710152,8476306.67,5402.362441,20231697,12894,9817268,6257,Suburb,94200,41902,1283115,461588.8083,1998.134054
2802940,4800,MONROE COUNTY,15955582.38,7529.769882,12263793,3691789.38,3723179.852,3691789.38,2119,5.350695927,12254150,5782.987258,5787.53799,13673294,6452.710713,0,159,169,162,143,169,130,141,174,161,186,179,143,163,0.1451,845,5,24,0,28,13,5,24,97,5,60,5,138,5,5,403,132970709,5580181.42,MONROE COUN,396.0232517,0.154,4217787.34,1931.62778,263,131,15,307.4669,326.326,132970.709,62.75163237,9950114.148,4695.665006,9981504.62,4710.47882,17843974,8420,5580181,2633,Rural,102700,46754,1801989,624709.4709,1742.231892
2802910,3820,MERIDIAN,29646927.56,6425.4286,22787246,6859681.56,10295364.35,6859681.56,4614,85.86799935,23010848,4987.179887,4938.718249,25406228,5506.334634,169,342,368,370,423,250,318,382,259,324,353,366,304,256,0.6029,1157,74,72,0,40,51,5,55,63,43,189,5,110,0,5,636,367691584,22438180.79,MERIDIAN,53.73363808,0.363,17171470.7,4011.7486,213,377,48,2781.7806,1674.882,367691.584,79.69041699,15110863.65,3275.002958,18546546.44,4019.624283,45225426,9801,22438180,4863,Town,83300,32422,3002434,1390905.524,1486.710351
2802880,5720,MCCOMB,14868695.52,6947.988561,11428389,3440306.52,3973191.964,3440306.52,2140,48.53163932,11284482,5273.12243,5340.368692,12741876,5954.147664,61,153,181,162,165,138,135,161,128,201,177,169,132,126,0.5119,714,42,18,0,23,5,5,28,63,5,62,5,58,0,0,271,141899713,8534905.3,MCCOMB,44.09494569,0.372,9335373.91,1879.98276,144,123,5,1095.466,796.08,141899.713,66.3082771,8768684.036,4097.515905,9301569.48,4346.527794,19963294,9328,8534905,3988,Town,96100,28571,1699242,655404.07,1607.619869
2802850,4700,MARSHALL COUNTY,18928641.49,6816.219478,14548948,4379693.49,9647182.244,4379693.49,2777,5.273335491,13925285,5014.506662,5239.088225,16221087,5841.226864,0,213,223,189,234,185,239,216,175,217,272,208,197,160,0.2866,1009,232,34,0,30,18,5,32,56,14,35,5,116,5,5,346,344542223,10457297.79,MARSHALL CO,526.6116682,0.278,9336823.97,2487.44911,202,129,24,795.8882,772.006,344542.223,124.0699399,6573904.756,2367.268547,11841393.51,4264.09561,25006245,9004,10457297,3765,Rural,113500,46662,1722545,806245.6398,1577.131253
2802820,4600,MARION COUNTY,14546991.18,7640.22646,11710691,2836300.18,2836300.18,3525288.21,1904,3.999376132,11385341,5979.695903,6150.573004,13056623,6857.470063,40,144,147,119,138,116,128,166,148,175,177,154,120,114,0.3229,757,5,15,0,11,12,5,14,145,5,45,5,83,0,0,334,101296435,5635882.7,MARION COUN,476.0742519,0.274,9011834.97,1727.22803,239,96,5,614.8016,521.696,101296.435,53.20190914,10220322.82,5367.816607,9531334.79,5005.953146,17346573,9110,5635882,2960,Rural,86200,32855,1346342,567705.0874,1489.653456
2802790,4500,MADISON COUNTY,87124681.66,6619.41055,66965845,20158836.66,43065030.43,20158836.66,13162,24.9875828,65947698,5010.461784,5087.816821,74662358,5672.569366,85,888,1009,942,929,917,1001,943,978,1038,1151,1128,992,916,0.128,4890,599,213,0,91,76,17,75,325,65,404,5,396,5,5,1680,1538036801,81414049.97,MADISON COU,526.7416262,0.101,18540132.69,11965.6851,812,790,75,1684.736,1329.362,1538036.801,116.8543383,31597327.57,2400.647893,54503521.34,4140.975637,148379894,11273,81414049,6185,Suburb,228300,83293,6936614,3809644.233,1531.593729
2802730,4400,LOWNDES COUNTY,36251293.08,6890.570819,27863499,8387794.08,14721070.06,8387794.08,5261,11.97110432,27400597,5208.248812,5296.236267,31065904,5904.942787,133,366,424,356,356,354,401,355,421,403,482,401,341,389,0.2349,1571,29,77,0,74,42,5,25,181,20,161,5,282,5,5,874,525752502,32506676.7,LOWNDES COU,439.4749107,0.182,11894740.24,4739.23333,537,315,30,1235.8089,957.502,525752.502,99.9339483,16344833.94,3106.792234,22678109.92,4310.608234,60370175,11475,32506676,6178,Rural,139400,61457,3521717,1550810.297,1594.334552
2802700,8020,LOUISVILLE,18087918.67,7169.210729,13902751,4185167.67,4553163.888,4185167.67,2523,4.155359423,13490290,5346.924296,5510.404677,15500621,6143.72612,39,173,208,176,155,145,184,163,214,234,212,206,189,185,0.3781,958,5,22,0,30,5,5,11,57,5,33,5,110,0,5,288,162612996,8706891.66,LOUISVILLE,607.1676943,0.3,8989137.49,2317.5366,197,81,10,953.9463,756.9,162612.996,64.45223781,10947457.11,4339.063461,11315453.33,4484.920067,22609642,8961,8706891,3451,Town,84900,34724,1458545,767365.8739,1658.806052
2802670,2422,LONG BEACH,21188282.54,7233.964679,16936883,4251399.544,4251399.544,5098537.17,2929,180.4985717,17060468,5824.673267,5782.479686,18883471,6447.071014,37,194,226,211,178,214,242,216,199,245,269,237,208,205,0.2292,657,48,60,0,74,30,5,16,95,14,105,5,109,0,5,511,151835698,10147927.49,LONG BEACH,16.22727522,0.171,10563525.94,2663.46667,278,221,19,671.3268,500.859,151835.698,51.83874974,14632071.46,4995.586021,13784933.83,4706.36184,27084810,9247,10147927,3464,Suburb,151300,53491,2371597,852141.6466,1451.484993
2802640,4300,LINCOLN COUNTY,19940104.65,7134.2056,16621900,3318204.652,3318204.652,5003717.49,2795,6.414606714,16291711,5828.876923,5947.012522,18532287,6630.514132,0,218,247,188,207,207,218,221,227,219,240,237,176,171,0.2343,1000,12,22,0,19,12,5,27,122,5,58,0,167,5,5,437,118507309,6118841.94,LINCOLN COU,435.7242969,0.204,4856062.13,2580.22472,308,124,15,654.8685,570.18,118507.309,42.39975277,15214082.35,5443.321055,13528569.51,4840.275317,22740741,8136,6118841,2189,Rural,95000,50288,1605913,815307.9486,1187.193078
2802610,7612,LELAND,4912078.85,7017.2555,3775526,1136552.85,1821726.508,1136552.85,700,3.672849704,3691126,5273.037143,5393.608571,4209455,6013.507143,42,43,40,50,54,44,57,55,53,66,54,43,45,29,0.5896,248,0,5,0,5,5,0,15,36,5,5,0,27,0,0,90,65061661,3894638.12,LELAND,190.5877061,0.305,5355699.91,631.15,68,30,5,412.72,213.5,65061.661,92.94523,2387728.492,3411.040703,3072902.15,4389.860214,7670164,10957,3894638,5563,Town,72000,38088,403540,196738.4716,1623.646929
2802550,4100,LEE COUNTY,44463018.42,7054.262799,34181820,10281198.42,10281198.42,10289808.54,6303,20.45800627,33279992,5280.024116,5423.103284,38110402,6046.390925,0,501,507,496,465,426,464,476,487,499,522,530,428,433,0.246,1605,125,84,0,87,36,5,39,227,11,141,5,341,5,5,984,367185658,23825813.85,LEE COUNTY,308.0945384,0.196,12212271.08,5627.86111,655,310,21,1550.538,1235.388,367185.658,58.25569697,27829203.58,4415.23141,27820593.46,4413.865375,58007633,9203,23825813,3780,Rural,121200,49723,3681223,1827354.369,1631.159515
2802520,4000,LEAKE COUNTY,18517969.04,7313.573872,14786799,3731170.044,3731170.044,4451293.98,2532,4.344414922,14271744,5636.549763,5839.968009,16486274,6511.166667,0,200,214,182,170,164,183,153,179,221,230,214,146,178,0.3133,703,273,41,0,84,19,5,24,53,13,104,5,102,0,0,445,133256073,5407327.41,LEAKE COUNT,582.8172598,0.289,10802074.2,2305.08907,239,198,13,793.2756,731.748,133256.073,52.62878081,12755103.96,5037.560804,12034980.02,4753.151667,20194126,7975,5407327,2135,Town,83300,37096,2171897,753334.2873,1473.605863
2802490,3900,LAWRENCE COUNTY,12535055.8,7390.952712,9634705,2900350.8,3469638.06,2900350.8,1696,3.939213313,9340471,5507.353184,5680.840212,10742040,6333.75,0,146,128,121,137,110,133,124,106,140,146,158,119,102,0.3284,581,17,27,5,34,5,5,16,96,5,34,0,66,5,5,294,123915645,7374467.95,LAWRENCE CO,430.5428179,0.257,4744510.8,1567.43825,196,87,20,556.9664,435.872,123915.645,73.06346993,7272401.94,4287.972842,7841689.2,4623.6375,17009172,10028,7374467,4348,Rural,94800,41914,1246734,517424.2658,1710.1125
2802460,3420,LAUREL,17382501.89,6409.477098,13360553,4021948.89,6061171.2,4021948.89,2712,185.5597124,15119073,5574.879425,4926.457596,14896107,5492.664823,111,227,227,224,220,168,212,203,187,189,202,182,175,148,0.4761,419,194,39,0,29,32,5,27,87,20,84,5,101,5,5,424,216470400,14655250.7,LAUREL,14.61524145,0.336,8772059.28,2311.04469,217,192,30,1291.1832,911.232,216470.4,79.81946903,8834935.8,3257.71969,10874158.11,4009.645321,28015803,10330,14655250,5403,Town,84700,31481,1752686,818523.8375,1483.019502
2802430,3800,LAUDERDALE COUNTY,41850914.35,7081.372987,32497008,9353906.352,9353906.352,9782627.04,5910,9.094489642,32009830,5416.21489,5498.647716,36231952,6130.617936,79,451,471,407,404,394,421,428,447,428,496,506,427,439,0.2524,1942,96,111,0,84,43,5,32,185,32,183,5,198,5,5,893,334068084,17790339.4,LAUDERDALE,649.844052,0.185,12958370.16,5234.47296,467,379,42,1491.684,1093.35,334068.084,56.52590254,26878045.65,4547.892665,26449324.96,4475.351093,50287347,8508,17790339,3010,Rural,114600,52855,3790720,1716854.17,1582.725271
2802400,3700,LAMAR COUNTY,69392592.63,6752.879781,53336592,16056000.63,18456790.86,16056000.63,10276,18.48210988,57470339,5592.676041,5190.404048,59466669,5786.947158,256,785,759,698,727,684,761,721,775,815,923,849,712,639,0.186,3020,334,207,0,81,54,5,46,379,33,424,16,676,5,5,1926,659171102,38313782.71,LAMAR COUNT,555.9971274,0.167,22842073.31,9204.80556,1136,752,43,1911.336,1716.092,659171.102,64.14666232,41009878.14,3990.840613,43410668.37,4224.471426,91650374,8918,38313782,3728,Rural,177100,60830,7523075,3018306.427,1562.475733
2802370,3600,LAFAYETTE COUNTY,19521781.68,6797.277744,15004848,4516933.68,4986644.432,4516933.68,2872,5.265027288,14682761,5112.381964,5224.529248,16729384,5824.994429,88,209,223,193,212,172,210,218,207,238,233,241,176,211,0.1609,872,39,46,0,34,41,5,5,158,13,84,5,152,5,5,554,178094444,12444490.33,LAFAYETTE C,545.4862516,0.157,4294321.9,2487.40988,344,186,23,462.1048,450.904,178094.444,62.01060028,11742739.57,4088.697621,12212450.32,4252.245933,27449338,9557,12444490,4333,Town,149100,53438,1883710,811507.5967,1572.748496
2802340,420,KOSCIUSKO,14615525.92,6884.373963,11562251,3053274.924,3053274.924,3480603.21,2123,13.88364054,11686571,5504.743759,5446.185115,12891123,6072.125765,126,150,149,149,130,139,160,187,141,172,185,147,110,161,0.3232,573,26,34,0,28,19,5,18,85,5,76,5,109,5,0,380,109045533,5823437.56,KOSCIUSKO,152.9137833,0.301,9306818.41,1876.07778,222,157,10,686.1536,639.023,109045.533,51.36388742,9837848.076,4633.936918,9410519.79,4432.651809,17385688,8189,5823437,2743,Town,97600,32570,1771548,642541.4094,1438.188848
2802310,3500,KEMPER COUNTY,6795683.56,7687.424842,5223304,1572379.56,9677971.52,1572379.56,884,1.153930892,5063006,5727.382353,5908.714932,5823628,6587.81448,22,64,69,47,57,58,48,64,52,68,79,107,72,52,0.491,319,0,13,0,5,5,5,5,36,5,27,0,26,0,0,123,345641840,7984702.55,KEMPER COUN,766.0770732,0.38,4120973.57,806.191011,67,55,5,434.044,335.92,345641.84,390.9975566,-3854343.52,-4360.117104,4251248.44,4809.10457,13208006,14941,7984702,9032,Rural,73600,31103,662251,267481.7626,1778.70991
2802280,3400,JONES COUNTY,59440752.47,6973.340271,48754945,10685807.47,10685807.47,14676780.15,8524,12.53282804,49078756,5757.714219,5719.726068,54358445,6377.105232,213,624,688,620,597,641,573,626,628,652,679,672,560,556,0.2359,1977,587,123,0,105,73,14,64,290,88,343,5,470,5,5,1585,381635981,24411833.97,JONES COUNT,680.1338035,0.206,18990452.13,7660.86304,865,622,98,2010.8116,1755.944,381635.981,44.77193583,43672637.53,5123.491029,39681664.85,4655.28682,73166778,8583,24411833,2863,Rural,102600,46981,6678155,2496790.025,1253.614203
2802250,3300,JEFF DAVIS COUNTY,9257900.23,7496.27549,7115815,2142085.23,2990386.364,2142085.23,1235,3.024068154,6801130,5506.987854,5761.793522,7933649,6424.007287,0,91,106,80,112,83,95,91,89,92,107,92,99,85,0.3773,508,5,18,0,14,5,5,5,58,5,30,5,71,5,0,209,106799513,5841123.54,JEFF DAVIS,408.3902667,0.372,7500445.03,1128.20879,143,68,10,465.9655,459.42,106799.513,86.47733846,4943262.636,4002.641811,5791563.77,4689.52532,12956938,10491,5841123,4729,Rural,94600,32116,911544,373889.8257,1734.481968
2802220,3200,JEFFERSON COUNTY,7594325.172,7144.238167,6075832,1518493.172,1518493.172,1829017.53,1063,2.044774724,5866334,5518.658514,5715.740357,6774139,6372.661336,38,83,81,72,73,69,82,79,74,79,100,90,56,66,0.5077,392,0,16,0,15,5,0,5,16,5,23,0,53,0,0,140,54231899,3264024.33,JEFFERSON C,519.8616686,0.429,7157999.7,935.093407,84,49,5,539.6851,456.027,54231.899,51.01777893,5255645.828,4944.163526,4945121.47,4652.042775,9339856,8786,3264024,3070,Rural,63400,25019,660344,303146.5347,1428.49781
2802190,2520,JACKSON PUBLIC,124713603.4,6665.612153,95857473,28856130.39,35388877.89,28856130.39,18710,179.7390101,97624406,5217.766221,5123.328327,106874557,5712.16232,800,1273,1357,1325,1473,1134,1365,1361,1046,1280,1775,1560,1339,1336,0.5392,5053,415,191,5,249,84,18,347,373,29,383,5,485,5,5,2181,1263888496,96927943.61,JACKSON PUB,104.0953769,0.401,67919104.22,16679.1833,1107,1028,44,10088.432,7502.71,1263888.496,67.55149631,71485679.11,3820.720423,78018426.61,4169.878493,192785416,10303,96927943,5180,City,89100,38399,10955513,5655999.467,1542.283826
2802160,3000,JACKSON COUNTY,58948082.61,6618.917877,45308724,13639358.61,16684565.72,13639358.61,8906,17.34046799,44651755,5013.671121,5087.438132,50516143,5672.147204,0,622,676,645,613,664,642,690,709,713,791,697,686,589,0.1588,1959,190,123,0,102,48,14,37,212,36,224,5,457,5,5,1263,595877347,39052547.89,JACKSON COU,513.5962884,0.152,19167342.79,8023.70787,771,451,46,1414.2728,1353.712,595877.347,66.90740478,33831577.28,3798.73987,36876784.39,4140.667459,84361271,9472,39052547,4384,Rural,146700,56700,4881551,2579227.051,1531.479745
2802100,2900,ITAWAMBA COUNTY,24947841.55,7391.953051,20321707,4626134.548,4626134.548,6117476.4,3375,6.335388022,19941628,5908.630519,6021.246519,22657320,6713.28,0,283,271,256,248,258,227,249,285,268,234,269,230,217,0.1791,972,22,42,0,30,34,5,22,127,5,288,5,157,5,5,727,165219091,7590614.85,ITAWAMBA CO,532.7219088,0.159,7372394.53,3113.61667,314,396,15,604.4625,536.625,165219.091,48.95380474,18031185.45,5342.573467,16539843.6,4900.6944,27912321,8270,7590614,2249,Rural,87600,44567,2705112,991291.2718,1370.706533
