ID,GEOID,Name,Short Name,Total Enrollment (FY23),Average Daily Attendance (FY23),Revenue: MAEP (FY24),Revenue: MAEP PP (FY24),Revenue: Local (FY22),Revenue: Local PP (FY22),Revenue: Total (MAEP + Local),Revenue: Total PP (MAEP + Local),Revenue: Federal (FY22),Revenue: Federal PP (FY22),Projected Revenue: State Formula,Projected Revenue: State Formula PP,Projected Revenue: Total (State + Local),Projected Revenue: Total PP (State + Local),Change in Revenue: Total (State + Local),Change in Revenue: Total PP (State + Local),Assessed Value (FY22),Assessed Value PP (FY22),Direct Certification % (FY24),Census Poverty % (FY21),ELL % (FY23),Vocational % (FY23),SPED Tier 1 %,SPED Tier 2 %,SPED Tier 3 %,Students per Square Mile,Calculations: Weighted Enrollment,Calculations: Formula Amount,Calculations: Formula Amount PP,Calculations: Mills Rule Expectation,Calculations: Maximum % Expectation,Calculations: Sparsity Multiplier %
5000,2803060,NESHOBA COUNTY,NESHOBA COU,3038,2964,22239713,7320,5845157,1924,28084871,9244,15123730,4978,21145952,6960,26991110,8884,-1093761,-360,124951330,41129,0.28,0.28,0,0.42,0.129,0.047,0.007,5.7,3881,24644589,8112,3498637,6654039,0
4111,2803090,NETTLETON,NETTLETON,1112,1004,7534020,6775,2491966,2240,10025987,9016,2793832,2512,7658242,6886,10150209,9127,124222,111,44823031,40308,0.27,0.22,0.01,0.37,0.114,0.052,0.004,11.3,1403,8913287,8015,1255044,2406587,0
7320,2803120,NEW ALBANY,NEW ALBANY,2114,1886,13621474,6443,8088117,3825,21709592,10269,4842368,2290,14062516,6652,22150634,10478,441042,208,107360999,50785,0.22,0.23,0.09,0.36,0.121,0.058,0.002,27.5,2687,17068624,8074,3006107,4608528,0
5100,2803150,NEWTON COUNTY,NEWTON COUN,1688,1533,11485584,6804,4501917,2667,15987502,9471,5342700,3165,11290487,6688,15792404,9355,-195097,-115,73661085,43638,0.2,0.24,0,0.31,0.066,0.075,0.006,4.2,2102,13352997,7910,2062510,3605309,0.008
5130,2803180,NEWTON MUNICIPAL,NEWTON MUNI,816,736,5369773,6580,3547304,4347,8917077,10927,5411990,6632,5066684,6209,8613989,10556,-303088,-371,72751727,89156,0.42,0.35,0,0.3,0.085,0.074,0.018,6,1093,6940664,8505,2037048,1873979,0
5411,2803210,NORTH PANOLA,NORTH PANOL,1219,1039,7448639,6110,4670309,3831,12118948,9941,3902052,3201,7974921,6542,12645231,10373,526282,431,87683457,71930,0.5,0.41,0,0.38,0.074,0.062,0.004,4.1,1642,10430058,8556,2455136,2816115,0.009
5711,2803240,NORTH PIKE,NORTH PIKE,2245,1987,15326932,6827,5573192,2482,20900124,9309,10739904,4783,15779339,7028,21352531,9511,452406,201,84591365,37679,0.32,0.27,0,0.28,0.126,0.051,0.004,17.8,2857,18147897,8083,2368558,4899932,0
5200,2803300,NOXUBEE COUNTY,NOXUBEE COU,1397,1212,8870428,6349,4230854,3028,13101283,9378,6357876,4551,10154824,7269,14385679,10297,1284396,919,80328913,57501,0.56,0.39,0.02,0.31,0.059,0.062,0.011,2,1953,12404034,8879,2249209,3349089,0.03
3021,2803360,OCEAN SPRINGS,OCEAN SPRIN,5861,5264,35842320,6115,22054499,3762,57896819,9878,10502145,1791,36101088,6159,58155588,9922,258768,44,341284002,58229,0.12,0.11,0.02,0.32,0.094,0.064,0.01,171.8,7190,45657040,7789,9555952,12327401,0
921,2803390,OKOLONA,OKOLONA,511,480,3932659,7696,1788241,3499,5720900,11195,2487390,4867,3661266,7164,5449507,10664,-271392,-531,28085972,54962,0.43,0.32,0,0.44,0.104,0.08,0.01,4.4,700,4447673,8703,786407,1200871,0.006
3620,2803450,OXFORD,OXFORD,4766,4069,26047620,5465,38762587,8133,64810207,13598,9080889,1905,26848924,5633,65611511,13766,801304,168,616326244,129317,0.17,0.15,0.08,0.28,0.097,0.04,0.005,55.3,5792,36779348,7717,17257134,9930424,0
3022,2803480,PASCAGOULA,PASCAGOULA,6565,5776,40036858,6098,52236402,7956,92273261,14055,23446694,3571,39134901,5961,91371304,13917,-901956,-137,1022081136,155686,0.36,0.26,0.09,0.28,0.07,0.058,0.008,92,8442,53609453,8165,28618271,14474552,0
2423,2803510,PASS CHRISTIAN,PASS CHRIST,1944,1764,11405973,5867,12821808,6595,24227782,12462,5104203,2625,11520555,5926,24342363,12521,114581,58,228928204,117761,0.27,0.19,0.01,0.34,0.07,0.081,0.008,33.3,2485,15781582,8118,6409989,4261027,0
6120,2803520,PEARL,PEARL,4216,3738,25328999,6007,15918153,3775,41247152,9783,8569410,2032,26852370,6369,42770523,10144,1523371,361,241493274,57280,0.25,0.2,0.04,0.28,0.104,0.061,0.002,164.8,5293,33614181,7973,6761811,9075829,0
5500,2803540,PEARL RIVER COUNTY,PEARL RIVER,3284,2875,20777082,6326,8511724,2591,29288806,8918,5974656,1819,21886951,6664,30398675,9256,1109868,337,138522803,42181,0.21,0.15,0.01,0.28,0.095,0.058,0.005,24.7,4057,25765589,7845,3878638,6956709,0
5600,2803570,PERRY COUNTY,PERRY COUNT,933,859,6421754,6882,4166449,4465,10588204,11348,4325843,4636,6020482,6452,10186932,10918,-401271,-430,105980327,113590,0.38,0.28,0,0.48,0.129,0.075,0.005,1.8,1298,8247236,8839,2967449,2226753,0.032
1821,2803530,PETAL,PETAL,4392,3930,28192626,6419,13747527,3130,41940154,9549,8976629,2043,29327132,6677,43074660,9807,1134506,258,227593990,51820,0.2,0.16,0.03,0.27,0.114,0.084,0.007,46.9,5622,35699764,8128,6372631,9638936,0
5020,2803600,PHILADELPHIA,PHILADELPHI,829,706,5245729,6327,3480176,4198,8725906,10525,2932252,3537,5691990,6866,9172167,11064,446261,538,61447733,74122,0.51,0.32,0.01,0.07,0.131,0.103,0.012,130.9,1167,7412527,8941,1720536,2001382,0
5520,2803630,PICAYUNE,PICAYUNE,3431,2792,19433050,5663,11216053,3269,30649104,8932,14487290,4222,22642688,6599,33858741,9868,3209637,935,189385894,55198,0.36,0.26,0.03,0.32,0.089,0.053,0.007,18.1,4400,27945493,8144,5302805,7545283,0
5820,2803690,PONTOTOC CITY,PONTOTOC CI,2302,2039,15570680,6763,5004069,2173,20574749,8937,6264580,2721,16879202,7332,21883271,9506,1308522,568,87056850,37817,0.23,0.21,0.11,0.3,0.15,0.077,0.007,23,3042,19316793,8391,2437591,5215534,0
5800,2803660,PONTOTOC COUNTY,PONTOTOC CO,3466,3114,23763154,6856,7625327,2200,31388482,9056,9778673,2821,23888822,6892,31514150,9092,125668,36,118922581,34311,0.19,0.21,0.06,0.3,0.11,0.044,0.008,8.7,4286,27218654,7853,3329832,7349036,0
5530,2803720,POPLARVILLE,POPLARVILLE,1909,1693,11823004,6193,6485300,3397,18308304,9590,5764252,3019,11982512,6276,18467813,9674,159508,83,114175246,59808,0.23,0.2,0.01,0.21,0.081,0.069,0.005,3.9,2390,15179419,7951,3196906,4098443,0.011
5900,2803750,PRENTISS COUNTY,PRENTISS CO,2278,2008,16315339,7162,5215941,2289,21531280,9451,8944435,3926,16489805,7238,21705746,9528,174465,76,89113764,39119,0.21,0.19,0,0.36,0.177,0.078,0.004,6.1,2989,18984990,8334,2495185,5125947,0
6000,2803810,QUITMAN COUNTY,QUITMAN COU,852,782,5853085,6869,3629841,4260,9482926,11130,6196847,7273,5443048,6388,9072889,10648,-410036,-481,77936585,91474,0.45,0.44,0,0.46,0.094,0.063,0.006,2.1,1174,7456230,8751,2182224,2013182,0.029
1212,2803780,QUITMAN SEP,QUITMAN SEP,1593,1379,10025901,6293,7013617,4402,17039518,10696,4387493,2754,10637485,6677,17651102,11080,611583,383,121991445,76579,0.43,0.35,0,0.29,0.089,0.101,0.009,3.1,2213,14053245,8821,3415760,3794376,0.019
6100,2803830,RANKIN COUNTY,RANKIN COUN,18720,17177,109885810,5869,92575401,4945,202461212,10815,31538902,1684,104419425,5577,196994826,10523,-5466385,-292,1665040971,88944,0.14,0.12,0.02,0.35,0.103,0.042,0.004,25,22526,143040308,7641,46621147,38620883,0
2515,.,REIMAGINE PREP,REIMAGINE P,600,600,3679458,6132,1808680,3014,5488139,9146,2311750,3852,4022315,6703,5830995,9718,342856,571,34721469,57869,0.58,0.4,0.01,0.25,0.023,0.055,0,NaN,786,4994516,8324,972201,1348519,0
5620,2803870,RICHTON,RICHTON,597,531,3654076,6120,1383928,2318,5038004,8438,2450604,4104,3960669,6634,5344597,8952,306593,513,26925232,45100,0.22,0.28,0,0.35,0.107,0.059,0,4.8,742,4714575,7897,753906,1272935,0.002
7012,2804110,S. TIPPAH,S. TIPPAH,2485,2170,17371817,6990,5824874,2344,23196692,9334,7482767,3011,17777180,7153,23602055,9497,405363,163,93966166,37813,0.18,0.28,0.06,0.27,0.153,0.081,0.004,9.5,3213,20408233,8212,2631052,5510223,0
6200,2803900,SCOTT COUNTY,SCOTT COUNT,3989,3459,27021472,6773,6490353,1627,33511826,8401,15308976,3837,28691239,7192,35181593,8819,1669766,418,123366956,30926,0.23,0.27,0.1,0.22,0.105,0.07,0.004,7.7,5062,32145514,8058,3454274,8679288,0
6920,2803930,SENATOBIA,SENATOBIA,1666,1483,10259185,6157,6807959,4086,17067144,10244,6195274,3718,10842904,6508,17650864,10594,583719,350,99947674,59992,0.28,0.2,0.01,0.23,0.148,0.061,0.006,37.7,2148,13641439,8188,2798534,3683188,0
6400,2803990,SIMPSON COUNTY,SIMPSON COU,3008,2827,20080458,6675,11132884,3701,31213342,10376,10928964,3633,18438490,6129,29571374,9830,-1641967,-545,256827504,85381,0.33,0.29,0.02,0.4,0.11,0.08,0.007,5.1,3977,25258206,8397,7191170,6819715,0
2505,.,SMILOW COLLEGIATE,SMILOW COLL,575,575,3460409,6018,2050595,3566,5511004,9584,2297325,3995,3523090,6127,5573685,9693,62680,109,38436801,66846,0.55,0.4,0.01,0,0.064,0.026,0,NaN,724,4599320,7998,1076230,1241816,0
2535,.,SMILOW PREP,SMILOW PREP,600,600,3655052,6091,2015009,3358,5670061,9450,1881336,3135,3748938,6248,5763947,9606,93885,156,38977213,64962,0.53,0.4,0.01,0.25,0.027,0.025,0.008,NaN,762,4840300,8067,1091361,1306881,0
6500,2804020,SMITH COUNTY,SMITH COUNT,2443,2224,15060923,6164,6370545,2607,21431468,8772,5750282,2353,14620721,5984,20991267,8592,-440201,-180,163455234,66907,0.23,0.24,0,0.25,0.056,0.063,0.009,3.8,3023,19197468,7858,4576746,5183316,0.012
6312,2803960,SOUTH DELTA,SOUTH DELTA,604,507,4414306,7308,2496558,4133,6910865,11441,3274558,5421,4050909,6706,6547468,10840,-363396,-601,79472422,131576,0.65,0.5,0,0.24,0.101,0.048,0.008,0.8,873,5549191,9187,2225227,1498281,0.042
5412,2804050,SOUTH PANOLA,SOUTH PANOL,4313,3638,26060221,6042,13181107,3056,39241329,9098,12557599,2911,29399979,6816,42581086,9872,3339757,774,201817123,46792,0.33,0.33,0.01,0.3,0.105,0.062,0.003,11.2,5519,35050858,8126,5650879,9463731,0
5712,2804080,SOUTH PIKE,SOUTH PIKE,1557,1315,9358969,6010,5294228,3400,14653197,9411,5536574,3555,9958311,6395,15252539,9796,599341,384,110835209,71185,0.45,0.33,0,0.39,0.091,0.056,0.006,6.5,2056,13061696,8389,3103385,3526658,0
5321,2800189,STARKVILLE OKTIBBEHA,STARKVILLE,4894,4187,28419225,5806,31135336,6361,59554561,12168,15583249,3184,28954440,5916,60089776,12278,535215,109,471472708,96336,0.35,0.24,0.02,0.34,0.092,0.058,0.002,10.7,6246,39663617,8104,13201235,10709176,0
6600,2804170,STONE COUNTY,STONE COUNT,2518,2264,15752917,6256,7227078,2870,22979996,9126,10053634,3992,16218211,6440,23445290,9311,465294,184,132638729,52676,0.29,0.23,0.01,0.36,0.078,0.051,0.006,5.7,3138,19932096,7915,3713884,5381665,0
6711,2800187,SUNFLOWER CONS,SUNFLOWER C,2929,2507,18122622,6187,12419498,4240,30542121,10427,12902524,4405,19760209,6746,32179708,10986,1637587,559,216486648,73911,0.57,0.61,0,0.37,0.062,0.079,0.005,4.2,4066,25821835,8815,6061626,6971895,0.008
6900,2804230,TATE COUNTY,TATE COUNTY,2014,1806,12916914,6413,5934089,2946,18851004,9359,7219167,3584,13142357,6525,19076446,9471,225442,111,121396319,60276,0.3,0.2,0.04,0.36,0.107,0.067,0.005,5.6,2604,16541454,8213,3399096,4466192,0
7100,2804260,TISHOMINGO,TISHOMINGO,2897,2650,18119854,6254,10142771,3501,28262626,9755,12096886,4175,17558741,6061,27701513,9562,-561112,-193,196026084,67665,0.18,0.19,0.03,0.35,0.12,0.061,0.005,6.8,3629,23047472,7955,5488730,6222817,0
7200,2804290,TUNICA COUNTY,TUNICA COUN,1671,1438,10205439,6107,14461914,8654,24667353,14762,6049221,3620,10585345,6334,25047259,14989,379906,227,191329023,114499,0.59,0.42,0.01,0.31,0.047,0.056,0.006,3.7,2283,14500472,8677,5357212,3915127,0.013
4120,2804320,TUPELO,TUPELO,7132,6110,41158031,5770,40188126,5634,81346158,11405,17584101,2465,41571713,5828,81759839,11463,413681,58,626008357,87774,0.29,0.21,0.05,0.19,0.091,0.057,0.007,98.7,8968,56947552,7984,17528233,15375839,0
5131,2804380,UNION CITY,UNION CITY,927,852,7064192,7620,1613482,1740,8677675,9361,3247612,3503,7110768,7670,8724251,9411,46576,50,25023070,26993,0.24,0.27,0,0.34,0.167,0.081,0.011,13,1230,7811414,8426,700645,2109081,0
7300,2804350,UNION COUNTY,UNION COUNT,2980,2640,19430187,6520,7657298,2569,27087485,9089,6419076,2154,20265146,6800,27922444,9369,834959,280,102684660,34457,0.17,0.19,0.01,0.27,0.114,0.048,0.007,8.8,3644,23140316,7765,2875170,6247885,0
7500,2804470,VICKSBURG WARREN,VICKSBURG W,6862,6063,41798577,6091,39766946,5795,81565524,11886,19995701,2913,41266046,6013,81032992,11808,-532531,-77,625214795,91112,0.45,0.33,0.01,0.38,0.092,0.038,0.003,11.7,8902,56528830,8237,17506014,15262784,0
618,2800185,W. BOLIVAR CONS,W. BOLIVAR,938,827,7556328,8055,4263046,4544,11819375,12600,4751804,5065,6213204,6623,10476251,11168,-1343123,-1431,98397810,104901,0.59,0.51,0.01,0.29,0.116,0.048,0.011,1.7,1340,8511239,9073,2755138,2298034,0.033
6812,2804650,W. TALLAHATCHIE,W. TALLAHAT,513,475,4403534,8583,2443868,4763,6847403,13347,2606776,5081,3289429,6412,5733298,11176,-1114105,-2171,76607096,149331,0.44,0.46,0,0.29,0.103,0.057,0.019,1.8,709,4506068,8783,2144998,1216638,0.032
7400,2804440,WALTHALL COUNTY,WALTHALL CO,1684,1533,11149516,6620,5651277,3355,16800793,9976,5317377,3157,10651575,6325,16302853,9681,-497940,-295,112434563,66766,0.33,0.33,0.01,0.37,0.094,0.057,0.006,4.2,2173,13799743,8194,3148167,3725930,0.008
8113,2804500,WATER VALLEY,WATER VALLE,1041,943,6889416,6618,2699399,2593,9588815,9211,3223381,3096,6935218,6662,9634617,9255,45801,43,51083389,49071,0.31,0.32,0.01,0.35,0.098,0.054,0.005,8,1317,8365553,8036,1430334,2258699,0
7700,2804530,WAYNE COUNTY,WAYNE COUNT,2900,2665,20474120,7060,7796670,2688,28270791,9748,16482650,5683,20699754,7137,28496424,9826,225633,77,164650129,56775,0.44,0.32,0.02,0.33,0.157,0.054,0.008,3.6,3985,25309957,8727,4610203,6833688,0.014
7800,2804560,WEBSTER COUNTY,WEBSTER COU,1739,1500,11469520,6595,4015421,2309,15484941,8904,4977047,2862,11902246,6844,15917667,9153,432726,248,77678926,44668,0.22,0.24,0.01,0.38,0.14,0.049,0.006,4.1,2216,14077256,8095,2175009,3800859,0.009
3112,2804590,WEST JASPER,WEST JASPER,1411,1232,8963103,6352,5335260,3781,14298364,10133,3560080,2523,8626876,6114,13962137,9895,-336227,-238,115852167,82106,0.32,0.24,0.01,0.27,0.157,0.054,0.011,4.1,1861,11817639,8375,3243860,3190762,0.009
1321,2800191,WEST POINT CONS,WEST POINT,2609,2235,15985432,6127,9719600,3725,25705032,9852,12580623,4822,16006237,6135,25725837,9860,20805,7,219104668,83980,0.42,0.31,0,0.33,0.091,0.071,0.007,6.4,3452,21926353,8404,6134930,5920115,0
7613,2804680,WESTERN LINE,WESTERN LIN,1632,1395,9756432,5978,8961731,5491,18718163,11469,7532207,4615,9898065,6064,18859797,11556,141633,86,179443049,109952,0.44,0.29,0,0.34,0.114,0.031,0.009,4.6,2135,13558994,8308,5024405,3660928,0.004
7900,2804710,WILKINSON COUNTY,WILKINSON C,891,754,5824372,6536,2720037,3052,8544410,9589,3755479,4214,5869728,6587,8589766,9640,45355,50,68465888,76841,0.47,0.36,0.01,0.38,0.107,0.055,0,1.3,1226,7786773,8739,1917044,2102428,0.037
4911,2800196,WINONA-MONTG CONS,WINONA-MONT,1144,1000,7523309,6576,3512742,3070,11036052,9646,6588468,5759,7991984,6986,11504726,10056,468674,409,72225914,63134,0.43,0.31,0,0.28,0.115,0.071,0.013,2.8,1577,10014309,8753,2022325,2703863,0.022
8220,2804770,YAZOO CITY,YAZOO CITY,2029,1788,13749087,6776,2952057,1454,16701145,8231,7187346,3542,16000341,7885,18952399,9340,2251253,1109,58670267,28915,0.64,0.44,0,0.32,0.084,0.043,0.005,201.2,2778,17643109,8695,1642767,4763639,0
8200,2804800,YAZOO COUNTY,YAZOO COUNT,1320,1142,8453993,6404,7529716,5704,15983710,12108,5294693,4011,8283251,6275,15812967,11979,-170742,-129,233407298,176823,0.4,0.29,0.01,0.21,0.094,0.064,0.011,1.4,1786,11346919,8596,6535404,3063668,0.036
