ID,GEOID,Name,Short Name,Total Enrollment (FY23),Average Daily Attendance (FY23),Revenue: MAEP (FY24),Revenue: MAEP PP (FY24),Revenue: Local (FY22),Revenue: Local PP (FY22),Revenue: Total (MAEP + Local),Revenue: Total PP (MAEP + Local),Revenue: Federal (FY22),Revenue: Federal PP (FY22),Projected Revenue: State Formula,Projected Revenue: State Formula PP,Projected Revenue: Total (State + Local),Projected Revenue: Total PP (State + Local),Change in Revenue: Total (State + Local),Change in Revenue: Total PP (State + Local),Assessed Value (FY22),Assessed Value PP (FY22),Direct Certification % (FY24),Census Poverty % (FY21),ELL % (FY23),Vocational % (FY23),SPED Tier 1 %,SPED Tier 2 %,SPED Tier 3 %,Students per Square Mile,Calculations: Weighted Enrollment,Calculations: Formula Amount,Calculations: Formula Amount PP,Calculations: Mills Rule Expectation,Calculations: Maximum % Expectation,Calculations: Sparsity Multiplier %
614,2800750,CLEVELAND,CLEVELAND,2818,2447,17288876,6135,12328721,4374,29617598,10510,9162184,3251,17581327,6238,29910049,10613,292451,103,219291113,77817,0.45,0.41,0.02,0.31,0.098,0.056,0.009,26.2,3735,23721478,8417,6140151,6404799,0
2521,2801090,CLINTON,CLINTON,5211,4832,31117297,5971,19754262,3790,50871559,9762,9536034,1829,30979383,5944,50733645,9735,-137914,-26,295475086,56702,0.18,0.16,0.05,0.24,0.083,0.036,0.002,38.9,6181,39252685,7532,8273302,10598225,0
1400,2801110,COAHOMA COUNTY,COAHOMA COU,988,860,6601784,6681,5658673,5727,12260457,12409,5966637,6039,6540170,6619,12198844,12347,-61613,-62,146041533,147815,0.53,0.44,0,0.37,0.108,0.06,0.015,1.8,1410,8959138,9067,4089162,2418967,0.032
8111,2801140,COFFEEVILLE,COFFEEVILLE,417,357,2788218,6686,1989737,4771,4777956,11457,2464604,5910,2718879,6520,4708617,11291,-69339,-166,50220901,120433,0.5,0.35,0,0.31,0.098,0.06,0.012,1.2,586,3724492,8931,1406185,1005613,0.038
4620,2801170,COLUMBIA,COLUMBIA,1646,1454,10813209,6569,6203323,3768,17016532,10338,6256365,3800,11449013,6955,17652336,10724,635804,386,86535046,52572,0.32,0.3,0,0.3,0.128,0.092,0.003,24.8,2184,13871994,8427,2422981,3745438,0
4420,2801200,COLUMBUS,COLUMBUS,3090,2626,18666518,6040,13334111,4315,32000630,10356,13193710,4269,21012016,6800,34346127,11115,2345497,759,219959187,71184,0.55,0.33,0.01,0.36,0.081,0.082,0.005,46.9,4278,27170874,8793,6158857,7336135,0
1500,2801220,COPIAH COUNTY,COPIAH COUN,2205,1966,13884637,6296,4941811,2241,18826448,8538,6866971,3114,14527019,6588,19468831,8829,642382,291,131557669,59663,0.39,0.25,0.05,0.25,0.099,0.054,0.008,4.9,2867,18210634,8258,3683614,4916871,0.001
220,2801260,CORINTH,CORINTH,2490,2042,14081800,5655,6702195,2691,20783996,8346,5945567,2387,16921902,6795,23624098,9487,2840101,1140,111802151,44900,0.32,0.27,0.09,0.39,0.088,0.039,0.006,81.7,3157,20052362,8053,3130460,5414137,0
1600,2801290,COVINGTON COUNTY,COVINGTON C,2609,2249,16731988,6413,10299071,3947,27031060,10360,11599438,4445,16017698,6139,26316770,10086,-714289,-273,291463847,111714,0.38,0.29,0.02,0.21,0.184,0.05,0.002,6.3,3455,21942053,8410,8160987,5924354,0
1700,2801320,DESOTO COUNTY,DESOTO COUN,35003,30948,205127931,5860,121174285,3461,326302217,9322,51394776,1468,213713442,6105,334887727,9567,8585510,245,2093952456,59822,0.18,0.13,0.04,0.21,0.078,0.069,0.004,73.5,42888,272344110,7780,58630668,73532909,0
6811,2801410,E. TALLAHATCHIE,E. TALLAHAT,853,753,5482119,6426,2587029,3032,8069148,9459,4882824,5724,5563416,6522,8150445,9555,81297,95,55403895,64951,0.4,0.43,0,0.38,0.082,0.042,0.006,2.3,1120,7114725,8340,1551309,1920975,0.027
3111,2801380,EAST JASPER,EAST JASPER,755,678,4994728,6615,5808166,7692,10802895,14308,3508970,4647,4684917,6205,10493083,13898,-309811,-410,87543481,115951,0.37,0.3,0.01,0.28,0.077,0.079,0.007,2.3,1010,6417694,8500,2451217,1732777,0.027
1211,2801440,ENTERPRISE,ENTERPRISE,955,818,5855066,6130,3690708,3864,9545775,9995,1824087,1910,5696465,5964,9387173,9829,-158601,-166,63742402,66745,0.13,0.15,0,0.3,0.083,0.084,0.005,5.3,1178,7481252,7833,1784787,2019938,0
6220,2801470,FOREST SEPARATE,FOREST SEPA,1645,1496,9600258,5836,5753213,3497,15353472,9333,4835253,2939,10690598,6498,16443812,9996,1090340,662,95245718,57900,0.27,0.28,0.31,0.11,0.114,0.036,0.006,18.3,2103,13357479,8120,2666880,3606519,0
1802,2801510,FORREST AHS,FORREST AHS,611,536,3802241,6222,2377849,3891,6180090,10114,1634607,2675,3863495,6323,6241344,10214,61253,100,748694356,1225359,0.28,0,0.02,0.79,0.079,0.085,0.025,NaN,833,5292459,8661,20963441,1428963,0
1800,2801490,FORREST COUNTY,FORREST COU,2129,1849,13225239,6211,9137099,4291,22362339,10503,9825275,4614,12861542,6041,21998641,10332,-363697,-170,190120521,89300,0.34,0.25,0.05,0.27,0.129,0.062,0.005,6.1,2774,17618551,8275,5323374,4757008,0
1900,2801530,FRANKLIN COUNTY,FRANKLIN CO,1211,1067,8409146,6943,3442611,2842,11851758,9786,5208620,4301,8348971,6894,11791583,9737,-60174,-49,69724254,57575,0.26,0.31,0,0.25,0.157,0.072,0.008,2.1,1622,10301250,8506,1952279,2781337,0.029
2000,2801560,GEORGE COUNTY,GEORGE COUN,4165,3517,25442782,6108,9944452,2387,35387235,8496,14084643,3381,27679221,6645,37623673,9033,2236438,536,191494360,45977,0.24,0.2,0.01,0.33,0.114,0.052,0.004,8.7,5203,33041063,7933,5361842,8921087,0
2100,2801590,GREENE COUNTY,GREENE COUN,1640,1493,10774043,6569,6635647,4046,17409690,10615,6685145,4076,9733990,5935,16369638,9981,-1040052,-634,127561139,77781,0.26,0.23,0,0.47,0.092,0.041,0.006,2.3,2095,13305702,8113,3571711,3592539,0.027
7620,2801620,GREENVILLE,GREENVILLE,3542,3165,21983421,6206,11675470,3296,33658892,9502,16480297,4652,24581415,6939,36256885,10236,2597993,733,192946670,54473,0.63,0.43,0,0.28,0.083,0.022,0.004,94.4,4721,29983921,8465,5402506,8095658,0
